States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
Illinois,2011,30880437,58273,13613627,7420829,6192798,268276,491241,339387,1314194,6746,1844536,588262,1340156,2525341,11906,1358,336360,40937,1608090,105406,28189,370540,22555,14522962,11717504,2805458,160234,122241,37993,0,0
Indiana,2011,15060893,5232,8987066,6269721,2717345,43494,864325,185439,819164,3500,208568,470248,122607,652580,10096,6321,7171,17499,300855,206353,0,35082,69203,5265514,4583977,681537,150501,148676,0,1825,0
Iowa,2011,7325492,0,3415431,2321044,1094387,14273,276657,97098,447992,3918,0,226693,27756,731560,12284,18024,39426,28288,500775,10682,11041,109182,1858,3101721,2851449,250272,76780,65535,11245,0,0
Kansas,2011,6797501,71876,3332967,2487499,845468,113247,407,159824,436855,11,448,102496,32180,333916,3352,19,42352,24608,188281,21481,5163,46048,2612,2936361,2689843,246518,122381,229,0,122152,0
Kentucky,2011,10198800,514814,4894347,2896252,1998095,113252,179,128732,732826,4607,62286,299701,656512,468543,5759,262,99126,25497,203492,15737,0,114268,4402,3934302,3417779,516523,386794,41351,3123,342320,0
Louisiana,2011,8865421,51791,5131210,2812804,2318406,55948,671891,535565,607540,5115,10569,142064,289714,351398,0,0,84858,27505,104926,12228,11329,106451,4101,2600688,2403956,196732,730334,1074,0,729260,0
Maine,2011,3675810,45514,1682645,1010241,672404,17464,28029,89544,239446,2342,31886,145229,118464,248730,5990,730,8524,15840,97726,8536,0,102838,8546,1629979,1420982,208997,68942,49323,19619,0,0
Maryland,2011,16086686,793304,6654014,3896700,2757314,30434,26460,410287,752171,1159,131566,407570,997667,768118,1177,28657,94294,15426,444133,26277,0,156165,1989,7420807,6644962,775845,450443,216033,125140,0,109270
Massachusetts,2011,22107646,6167,7106364,4920521,2185843,73661,3362,319844,660829,1457,24132,577360,525198,854458,3122,324,24073,5166,378084,87229,0,235333,121127,13549171,11617600,1931571,591486,309638,166840,0,115008
Michigan,2011,23821872,1970274,13112010,9657800,3454210,143213,114017,271256,963507,5258,28059,969676,959224,1400343,16198,0,20839,49060,894900,54454,25094,171658,168140,7145920,6417078,728842,193325,200,123255,69870,0
Minnesota,2011,18952919,774891,8235683,4657395,3578288,77850,35825,354306,847897,580,49,421665,1840116,1113909,1842,1095,7737,56168,583498,45161,1590,345741,71077,8486053,7482396,1003657,342383,161309,153456,27618,0
Mississippi,2011,6549779,24454,4217623,2969375,1248248,42128,146976,175712,417088,0,1903,157569,306872,455659,2852,13127,126722,15250,129078,34055,8552,86867,39156,1745541,1397578,347963,106502,19,0,105100,1383
Missouri,2011,10115576,29719,4628195,2972654,1655541,32959,397831,283614,720404,0,0,105517,115216,574963,4963,1916,79487,31276,265331,15466,19425,137305,19794,4857939,4534346,323593,24760,1946,10802,5,12007
Montana,2011,2303516,243684,533372,0,533372,24850,49839,69489,209416,14,50518,85934,43312,307838,2109,4350,3089,46526,136658,8022,8,98685,8391,936614,812629,123985,282008,40,0,278372,3596
Nebraska,2011,4145889,119,2093842,1542620,551222,27668,4998,52644,318054,191,57215,66134,24318,159104,1010,623,3213,13484,87657,12077,0,13613,27427,1876493,1721548,154945,16331,1551,10340,4440,0
Nevada,2011,6332128,320228,4689166,2931547,1757619,40479,885808,235792,291238,0,22820,107839,173643,613036,0,111898,70845,8854,151688,21474,0,243489,4788,0,0,0,709698,0,55557,272240,381901
New Hampshire,2011,2251105,399498,894920,0,894920,12751,172,71418,159216,1265,83625,232030,334443,280317,3996,146,37015,9314,120342,5683,9923,93371,527,594069,75664,518405,82301,270,82031,0,0
New Jersey,2011,27182753,4228,11921825,8144397,3777428,131442,266263,465081,524167,0,943383,788480,658612,1497837,10885,63871,246270,13163,587524,51089,5883,517040,2112,12833472,10617034,2216438,925391,642182,283209,0,0
New Mexico,2011,4929096,58329,2568564,1891591,676973,44578,69913,121562,231654,413,29029,74612,105212,309093,1620,262,21224,57034,198035,3704,597,26617,0,1326722,1096922,229800,666388,5,0,666383,0
New York,2011,67945152,0,22367962,11581018,10786944,230074,713,1282080,1609423,21484,954205,1613010,5075955,1833694,47926,71,72992,61008,1268900,128684,25294,227426,1393,40224844,36209216,4015628,3518652,1219248,692143,0,1607261
North Carolina,2011,22400573,0,9934501,6185008,3749493,310616,16747,501060,1663047,0,400665,289504,567854,1444371,16077,0,500226,16663,568268,127852,0,207340,7945,10961570,9869492,1092078,60131,26788,31733,1610,0
North Dakota,2011,2960240,2292,1169185,776378,392807,7796,8183,36686,170853,661,38062,25302,105264,173298,310,738,0,14232,92546,4094,3,61375,0,593756,433116,160640,1021709,0,0,1021709,0
Ohio,2011,25018133,0,12591251,7767709,4823542,93986,0,467286,1757224,7571,1194452,855610,447413,3286317,43281,11988,1496467,38713,710956,91092,25150,848230,20440,9057287,8820082,237205,83278,72081,0,11197,0
Oklahoma,2011,7776210,0,3244517,2177458,1067059,94902,17082,183779,447543,1130,34443,259226,28954,945046,1204,123560,39753,19032,637218,15039,5,93613,15622,2739385,2385413,353972,847262,5725,10875,830662,0
Oregon,2011,8017377,21846,1097023,0,1097023,16294,29,60302,441858,1202,91220,262799,223319,845306,3080,4402,26665,42797,480781,29239,21949,230022,6371,5961725,5493119,468606,91477,76250,2028,13199,0
Pennsylvania,2011,32352286,47658,16783774,8951757,7832017,307664,1415734,926818,2064196,14843,1230536,1126362,745864,2578020,16618,27606,632682,71198,834338,61934,68654,847488,17502,11809488,9831427,1978061,1133346,778597,328900,0,25849
Rhode Island,2011,2713283,2122,1437888,812824,625064,12282,0,84253,123474,1318,104405,134961,164371,93261,53,423,4287,1710,53954,491,0,31477,866,1156228,1025584,130644,23784,16878,6906,0,0
South Carolina,2011,7705772,8311,4044644,2793683,1250961,151355,37650,157637,527829,0,28395,24692,323403,496717,9676,1997,89654,17891,202339,9629,0,152446,13085,3123813,2907731,216082,32287,8,32279,0,0
South Dakota,2011,1380051,0,1153941,808091,345850,18749,9022,65176,127437,654,3369,62539,58904,200116,757,7166,3932,27749,52324,3697,0,88047,16444,15208,0,15208,10786,0,190,10596,0
Tennessee,2011,11397010,0,8576487,6186336,2390151,123266,0,666932,845393,0,10970,290747,452843,1288258,1200,291,640228,30943,262386,45363,7305,292036,8506,1258091,189518,1068573,274174,113351,120960,2355,37508
Texas,2011,43146096,0,33798419,21793858,12004561,871147,38755,1350468,3108416,7744,631024,1501797,4495210,6670073,58703,8765,3961502,96970,1618563,128753,20978,609410,166429,0,0,0,2677604,0,0,2677604,0
Utah,2011,5516864,0,2613519,1850205,763314,42413,0,96338,369966,0,28481,124378,101738,255669,1936,0,3877,28730,156914,13724,0,47044,3444,2545881,2298220,247661,101795,130,0,101665,0
Vermont,2011,2687926,955512,904068,325622,578446,21137,0,57551,104721,0,12755,72961,309321,99870,372,37,1961,6430,63769,7766,0,17754,1781,661090,556013,105077,67386,35880,26564,0,4942
Virginia,2011,17416204,39042,5857681,3460741,2396940,190288,67,406113,897405,0,157561,173812,571694,774505,12067,80,56651,23702,438904,59064,0,179927,4110,10329032,9530628,798404,415944,2713,290789,1923,120519
Washington,2011,17411033,1857838,14103704,10580395,3523309,331900,0,413097,1205858,1809,473056,493755,603834,931427,13598,6231,28643,33490,472741,70722,19340,222038,64624,0,0,0,518064,122740,368618,26706,0
West Virginia,2011,5210925,6016,2487617,1210255,1277362,17524,68154,146054,397749,2312,164518,110760,370291,150029,15543,966,7437,97,3547,102876,372,16039,3152,1973163,1665885,307278,594100,0,8108,585992,0
Wisconsin,2011,15347327,147346,6809069,4109019,2700050,55130,284,156500,989545,0,374994,645717,477880,1058464,1549,631,18036,68244,458408,42290,67064,396755,5487,7279762,6429115,850647,52686,0,35555,5631,11500
Wyoming,2011,2271704,284351,796944,672532,124412,1680,0,21863,70176,65,3266,26123,1239,140989,0,0,11714,35546,68733,2148,0,22848,0,0,0,0,1049420,0,0,1044150,5270
