States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2011,761836690,14248440,369615750,237688541,131927209,5734886,6613212,16439013,39894108,135474,14647144,17275973,31187399,51795509,445460,485504,10306393,1471164,21544154,2482872,923801,13153621,982540,300913776,259849070,41064706,25263215,4484708,4636260,13675637,2466610
Alabama,2011,8631984,315698,4575127,2174639,2400488,167871,90,271835,548265,1973,772003,136611,501840,496117,3967,0,109434,21053,199970,21001,11792,128898,2,3097084,2795906,301178,147958,82,31901,115975,0
Alaska,2011,5537679,184254,256014,0,256014,35747,8321,55713,39617,0,3923,70918,41775,137889,1806,1,0,26790,58285,0,619,41889,8499,720733,0,720733,4238789,0,0,4238789,0
Arizona,2011,12265219,758304,7623409,5874113,1749296,63365,532,444421,774633,321,23047,327800,115177,418938,7503,0,10716,28169,202588,27942,18338,119669,4013,3423894,2863658,560236,40674,437,0,40237,0
Arkansas,2011,7952824,961130,3876982,2736946,1140036,46781,15020,153766,468525,4098,0,245290,206556,338846,4280,479,24708,20975,143329,17053,8455,118740,827,2647257,2270383,376874,128609,3,23180,79656,25770
California,2011,119164086,3207301,47616459,33465174,14151285,334178,0,2307022,5705527,13548,790501,905245,4095264,8186412,51535,15285,52094,91648,3090610,268749,392030,4220434,4027,60122035,50508441,9613594,31879,0,0,31879,0
Colorado,2011,9467684,0,3797370,2173882,1623488,37014,95870,191515,622822,577,11568,199042,465080,599455,6238,822,16152,69422,420736,28061,15259,41762,1003,4924099,4540586,383513,146760,70,0,146690,0
Connecticut,2011,13540174,0,5650513,3276124,2374389,48923,409188,209187,469724,7220,277640,400562,551945,414666,12402,128,28614,5565,162608,38664,528,161062,5095,7150661,6469246,681415,324334,227237,93358,60,3679
Delaware,2011,3261594,0,493195,0,493195,16883,0,87988,113753,110,58753,128935,86773,1181280,1982,394,795148,780,50031,4688,0,319583,8674,1519689,1177724,341965,67430,16229,50054,0,1147
Florida,2011,31635260,320,26181186,18378130,7803056,560163,137578,698100,2268475,9420,3122370,394276,612674,2183504,8314,19500,273635,15688,1253518,345673,30401,232170,4605,1869870,0,1869870,1400380,1120,1339280,59980,0
Georgia,2011,16003250,76704,7108662,5080777,2027885,161803,0,360670,932703,0,0,228858,343851,477056,2913,624,43127,23475,296786,30374,0,74116,5641,8329192,7658782,670410,11636,0,11636,0,0
Hawaii,2011,4857729,0,3335562,2495807,839755,48054,0,143455,95310,0,117940,125797,309199,151525,0,0,1479,432,104923,349,15785,27386,1171,1315150,1247291,67859,55492,6899,48593,0,0
Idaho,2011,3261722,0,1616206,1187070,429136,7934,0,68754,238983,838,2430,49505,60692,297648,1409,336,1954,31127,134108,10747,47686,66304,3977,1339461,1169247,170214,8407,620,0,7787,0
