States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
Georgia,2012,16715216,68951,7391867,5303524,2088343,175051,0,309193,1019300,0,0,227146,357653,505618,2357,785,44089,23840,308342,46986,0,73556,5663,8733047,8142371,590676,15733,28,15705,0,0
Hawaii,2012,5516146,0,3581652,2697951,883701,48854,0,122401,93349,0,150528,121971,346598,258795,0,0,1539,465,206164,487,17810,31168,1162,1621002,1540746,80256,54697,14125,40572,0,0
Idaho,2012,3374291,0,1664615,1224656,439959,8099,0,69722,236769,1269,2983,48461,72656,299443,1399,321,1963,33590,127813,11463,49085,69894,3915,1401924,1213335,188589,8309,0,0,8309,0
Illinois,2012,36257762,65106,14295688,8034466,6261222,279270,546819,369117,1290266,7212,1750459,606422,1411657,2602296,11845,74255,321319,41177,1620595,104581,17936,390975,19613,19006849,15512310,3494539,287823,234864,52959,0,0
Indiana,2012,16289491,6336,9925550,6631954,3293596,44155,829177,207419,814818,3075,224659,465200,705093,619464,12216,8098,7113,17733,222255,228468,0,43865,79716,5559975,4765467,794508,178166,175954,0,2212,0
Iowa,2012,7932494,0,3632917,2523266,1109651,14727,294886,101406,440161,4054,0,225499,28918,751627,14210,19239,34710,29286,520946,8062,11711,111672,1791,3455485,3029709,425776,92465,79670,12795,0,0
Kansas,2012,7418341,74413,3685595,2825880,859715,118202,389,166405,435049,0,317,103639,35714,315411,4530,16,21180,24258,184515,21500,4581,52267,2564,3209321,2891743,317578,133601,694,0,132907,0
Kentucky,2012,10619106,529567,5147889,3052236,2095653,118253,164,133070,790229,3601,64919,276544,708873,463793,5917,272,99585,26595,188714,15738,0,122373,4599,4087239,3512075,575164,390618,41313,3255,346050,0
Louisiana,2012,8994053,50937,4888854,2815919,2072935,56869,671080,357043,575063,5037,12796,133194,261853,402212,0,0,105495,28948,132032,12160,8989,110325,4263,2764995,2474606,290389,887055,1073,0,885982,0
Maine,2012,3777130,38360,1748815,1064342,684473,17352,28640,108605,242124,2379,28548,139729,117096,252404,4827,701,8541,15904,99135,10660,0,104561,8075,1674044,1441926,232118,63507,44865,18642,0,0
Maryland,2012,17094560,755937,7173515,4076578,3096937,31010,27504,428024,733410,1267,127106,411427,1337189,730878,1201,26,96412,15858,443956,26244,0,145252,1929,7996961,7116605,880356,437269,196875,127575,0,112819
Massachusetts,2012,22820892,4441,7312892,5079105,2233787,77861,3082,342201,661974,1635,23925,573759,549350,899682,3003,436,25968,5921,376552,98899,0,258897,130006,13956618,11954838,2001780,647259,293269,186202,0,167788
Michigan,2012,23919741,1911188,12654547,8933937,3720610,149629,115753,290385,951176,4985,27865,964748,1216069,1414986,16424,0,21662,48638,912032,55946,23773,160872,175639,7725070,6921033,804037,213950,241,150107,63602,0
Minnesota,2012,20560540,807700,9139154,4942140,4197014,79389,42182,360794,849218,577,49,421545,2443260,1186734,2030,1130,7076,55638,631436,45095,137,373790,70402,9054106,7988084,1066022,372846,165983,160493,46370,0
Mississippi,2012,6953365,23982,4396669,3072243,1324426,42183,152077,189373,417048,0,1894,157433,364418,517983,2918,11753,146255,15462,134477,40409,8826,91660,66223,1896946,1501267,395679,117785,12,0,116379,1394
Missouri,2012,10801860,29217,4764940,3103410,1661530,34341,390779,270169,708997,0,0,104918,152326,563570,4965,1803,63338,32489,267641,17686,19495,134353,21800,5433367,5131686,301681,10766,162,4611,2,5991
Montana,2012,2459324,257189,544733,0,544733,34019,53596,70779,211992,15,49740,87148,37444,315571,2030,4409,3222,44661,142901,8950,10,99751,9637,1032541,900180,132361,309290,1,0,305617,3672
Nebraska,2012,4366617,78,2093773,1570450,523323,28472,3082,46482,299764,267,55658,67585,22013,183035,1405,777,26330,14459,123190,5216,0,11658,0,2072640,1838344,234296,17091,1017,10719,5355,0
Nevada,2012,6775112,234522,5231962,3433958,1798004,41695,910839,237861,291400,0,22717,102644,190848,583829,0,95410,66708,9810,160840,22036,0,225292,3733,0,0,0,724799,0,52131,303038,369630
New Hampshire,2012,2205045,380682,875037,0,875037,9723,431,73808,143794,483,83884,215161,347753,262399,4011,222,37582,10031,94063,12803,6980,96048,659,602866,81557,521309,84061,0,84061,0,0
New Jersey,2012,27456175,5650,12009552,8099549,3910003,135304,239324,532307,539714,0,958425,792066,712863,1425441,3960,54319,214348,13238,605628,52663,7094,472006,2185,13057551,11128418,1929133,957981,641868,316113,0,0
New Mexico,2012,5470982,81190,2766698,2032518,734180,44676,69557,147494,234986,851,30342,85493,120781,274975,0,392,21647,25827,177487,3701,130,45791,0,1403167,1126460,276707,944952,0,0,944952,0
New York,2012,71545745,0,22869327,11904357,10964970,238932,769,1339033,1604727,22361,942585,1631995,5184568,1926804,59079,40,52469,56286,1418700,132129,20347,186278,1476,43339857,38771968,4567889,3409757,1078516,710877,0,1620364
North Carolina,2012,22714557,0,9540442,5573658,3966784,322970,13855,479756,1861838,0,381934,294754,611677,1476017,16026,0,523265,17065,569253,123344,0,216751,10313,11603868,10383796,1220072,94230,58323,34345,1562,0
North Dakota,2012,4146149,2398,1594529,1122783,471746,8463,6027,42819,204573,581,40289,28240,140754,187847,325,814,0,13301,105450,5071,6,62880,0,648149,432527,215622,1713226,1,0,1713225,0
Ohio,2012,25928118,0,13124136,8277130,4847006,98113,19760,477982,1684209,7122,1051730,843180,664910,3580483,39735,120505,1681619,39096,714980,81026,25436,861301,16785,9146795,9029349,117446,76704,66522,0,10182,0
Oklahoma,2012,8823958,0,3708940,2415964,1292976,103831,18946,228915,444636,1388,39353,292973,162934,1032981,920,148684,51032,22082,665123,15066,4,108721,21349,3220385,2774376,446009,861652,135,12570,848947,0
Oregon,2012,8728095,15710,1398998,0,1398998,17322,48,100821,533420,1132,94132,255652,396471,934874,3577,2739,19425,46149,509049,29298,16397,301940,6300,6258923,5825797,433126,119590,101816,3655,14119,0
Pennsylvania,2012,32949917,38452,17151633,9166842,7984791,324024,1499664,790781,2073677,14820,1336501,1118961,826363,2646493,16304,24206,656221,73710,837990,62348,66778,890117,18819,11939487,10102113,1837374,1173852,804731,342506,0,26615
Rhode Island,2012,2868188,2095,1474547,848547,626000,12871,0,93319,80911,1587,101408,132132,203772,129209,63,119,4631,1666,64889,3980,0,47168,6693,1204828,1068466,136362,57509,42112,15397,0,0
South Carolina,2012,8062639,8811,4174626,2926177,1248449,153951,38848,144072,531615,0,22045,26247,331671,488588,9086,1953,100686,18176,205110,9270,0,128758,15549,3349738,3096834,252904,40876,3,40873,0,0
South Dakota,2012,1521928,0,1197567,838240,359327,15449,9200,67000,136431,634,3676,60372,66565,250572,811,7568,4213,29352,64710,3792,0,124647,15479,59837,0,59837,13952,0,193,13759,0
Tennessee,2012,11380078,0,8383189,5933356,2449833,133055,0,639222,837787,0,9318,279017,551434,1391307,1320,166,736743,32592,262243,46494,6967,296144,8638,1297634,182251,1115383,307948,149344,136224,2450,19930
Texas,2012,47991110,0,40976120,29002557,11973563,941461,29296,1442640,3178419,7142,768762,1463793,4142050,3207435,68642,19917,105633,102661,1971308,130838,18509,618514,171413,0,0,0,3807555,0,0,3807555,0
Utah,2012,5809955,0,2722128,1857035,865093,45823,0,104443,372212,0,25824,123988,192803,255679,1936,0,547,28720,158169,14987,0,47700,3620,2725073,2466495,258578,107075,0,0,107075,0
Vermont,2012,2731036,924451,968303,342085,626218,22403,0,59000,108177,0,13267,80230,343141,101161,391,35,2023,6502,64294,7963,0,18103,1850,695029,598450,96579,42092,13335,24298,0,4459
Virginia,2012,18144897,34297,5860577,3487343,2373234,198107,81,390950,866243,0,150759,192441,574653,777187,12038,93,57209,27491,431651,60282,0,183905,4518,11054938,10216148,838790,417898,298,313052,1986,102562
Washington,2012,17624715,1897095,14171443,10614137,3557306,349164,0,430052,1177987,1734,460025,470765,667579,994819,33912,6116,30083,41826,471016,69745,18862,253245,70014,0,0,0,561358,104592,420464,36302,0
West Virginia,2012,5285773,6039,2559586,1277328,1282258,17204,78121,144786,387040,2337,155560,109618,387592,137670,1337,3745,4323,104,3261,104388,395,12994,7123,1948131,1755746,192385,634347,16,8128,626203,0
Wisconsin,2012,15995335,155571,7008022,4288739,2719283,56278,260,165758,985001,0,388205,653275,470506,1077742,1707,619,18979,69824,463896,41295,80976,395278,5168,7696502,6762399,934103,57498,323,39843,5013,12319
Wyoming,2012,2304628,316734,873840,747804,126036,1742,0,26056,66443,68,4443,25984,1300,140045,0,0,12720,35612,65733,2158,0,23822,0,0,0,0,974009,38,0,968525,5446
