States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2012,796917528,13107189,381556649,249155625,132401024,5971042,6760869,16640811,40111264,135999,14700220,17194967,30885852,50111478,459139,641435,6767022,1484299,22859694,2599409,802326,13450764,1047390,322306097,280589983,41716114,29836115,4499843,5158015,17606979,2571278
Alabama,2012,9049294,321530,4626357,2274658,2351699,173251,53,278242,541499,1841,736533,126151,494129,517676,4229,0,130843,20688,201875,21679,14367,123994,1,3430690,3017437,413253,153041,303,36271,116467,0
Alaska,2012,7049398,215407,248432,0,248432,40230,7712,61684,40980,0,4114,67382,26330,135055,1864,1,0,27316,58196,0,604,38936,8138,663144,0,663144,5787360,0,0,5787360,0
Arizona,2012,12996421,754428,8066124,6210756,1855368,68379,521,426497,896983,254,21339,319467,121928,393378,4918,0,10518,29258,169370,29898,16299,128759,4358,3741713,3093904,647809,40778,200,0,40578,0
Arkansas,2012,8287744,1008707,3982832,2809416,1173416,48803,27640,156828,467055,3526,0,246976,222588,359012,4170,450,24690,21696,154095,17604,10015,125492,800,2805985,2401902,404083,131208,0,25750,82770,22688
California,2012,115178568,2079878,41341188,31253629,10087559,346000,0,2416073,5544530,15838,766361,895677,103080,8658041,53169,15850,53003,98840,3529137,306882,289461,4293352,18347,62973435,55024435,7949000,126026,0,0,37112,88914
Colorado,2012,10262977,0,4090645,2302333,1788312,38817,93223,197914,630573,595,11974,203399,611817,629101,6221,837,15690,67629,455744,30986,12349,38705,940,5367851,4875627,492224,175380,290,0,175090,0
Connecticut,2012,15480865,0,6757964,3758881,2999083,60595,380376,205587,487104,6876,331015,418231,1109299,416396,8378,212,27947,4714,209109,43522,676,118782,3056,7996509,7371189,625320,309996,174554,130014,64,5364
Delaware,2012,3280185,0,491044,0,491044,17654,0,91763,112908,96,59694,120850,88079,1230384,1465,402,790579,2736,49601,5470,0,374732,5399,1388392,1126014,262378,170365,12017,157025,0,1323
Florida,2012,32997012,140,27267196,19403788,7863408,527016,157108,704760,2273685,9360,3162560,381485,647434,2205376,8268,12000,275849,15379,1305028,350141,27321,203720,7670,2003490,0,2003490,1520810,360,1470590,49860,0
