States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
Iowa,2008,6892041,0,2960567,1840862,1119705,14449,294467,111647,442183,4102,0,252857,0,639779,10704,22917,39825,26549,404006,15000,12868,105979,1931,3195641,2848393,347248,96054,79783,16271,0,0
Kansas,2008,7159748,79026,3091221,2264747,826474,106299,500,133913,431755,1948,851,118253,32955,303696,2653,148,54786,21478,172111,17270,5373,27180,2697,3472862,2944851,528011,212943,44247,0,168696,0
Kentucky,2008,10043875,503105,4718517,2875836,1842681,107507,220,151809,617826,5670,56906,178558,724185,457343,6136,245,75832,25520,212037,19945,0,113539,4089,4016768,3483138,533630,348142,51001,3807,293334,0
Louisiana,2008,11003870,46643,5538890,3459383,2079507,54993,742831,478288,604377,4474,13965,145578,35001,498612,0,0,252900,30902,87189,11455,5453,107632,3081,3872882,3169686,703196,1046843,11148,0,1035695,0
Maine,2008,3785719,37280,1705306,1060557,644749,17404,20391,97242,229849,3000,32685,150499,93679,231268,4150,745,8014,16317,84322,11823,0,96049,9848,1747354,1562839,184515,64511,39891,24620,0,0
Maryland,2008,15743757,630809,6278586,3748933,2529653,28966,14783,414233,808964,1806,133513,376112,751276,697481,1022,30,89736,15247,442018,29373,0,117998,2057,7675458,6940134,735324,461423,243425,154491,0,63507
Massachusetts,2008,22059169,3798,6206992,4098089,2108903,71935,3494,396196,672654,3496,24148,436942,500038,685045,3081,439,23561,5289,287738,92881,1500,167563,102993,14676098,12496142,2179956,487236,253966,188170,0,45100
Michigan,2008,24781626,2264306,11920372,8225599,3694773,138779,129684,223198,994937,8188,21317,1076087,1102583,1354001,14124,0,20347,47073,892817,51928,19554,151006,157152,8959372,7181055,1778317,283575,234,169835,113506,0
Minnesota,2008,18320891,712463,7433063,4550838,2882225,72563,43219,347045,648565,967,47,419127,1350692,1011289,1682,1137,7400,57947,511513,50168,836,330155,50451,8817738,7777259,1040479,346338,115523,198994,31821,0
Mississippi,2008,6745743,23979,4229443,3135390,1094053,42092,194037,193872,442119,0,1954,58327,161652,418771,2929,4826,129770,15398,123203,34385,7897,84158,16205,1935722,1551079,384643,137828,1215,0,135248,1365
Missouri,2008,10890967,28970,4770631,3228274,1542357,31173,345771,283960,736303,0,0,109365,35785,576559,4771,1770,88705,30544,269443,15558,21684,125897,18187,5502859,5118849,384010,11948,3137,8728,21,62
Montana,2008,2457929,220327,544402,0,544402,27166,63150,65419,205819,73,48843,94020,39912,311029,2944,8220,3128,46797,143972,7916,10,90416,7626,1031777,870064,161713,350394,18,0,347221,3155
Nebraska,2008,4228800,2264,2035441,1534134,501307,26254,5659,37250,294149,234,56592,75479,5690,206783,453,363,7157,15490,90845,8735,0,62755,20985,1958997,1726145,232852,25315,6844,13503,4968,0
Nevada,2008,6148455,213293,4942079,3077433,1864646,40401,1047800,256814,311953,0,20849,134617,52212,541796,0,96682,72249,8563,169896,16133,0,172781,5492,0,0,0,451287,0,92555,74130,284602
New Hampshire,2008,2251179,387623,792947,0,792947,12508,236,85820,137206,2916,78723,169789,305749,215878,3061,322,39082,9720,93679,13226,7123,46844,2821,732730,117936,614794,122001,132,121869,0,0
New Jersey,2008,30616510,2998,12519601,8915515,3604086,104104,412986,542920,563266,0,930457,789351,261002,1452361,7804,76272,313322,13211,432164,37579,1475,567840,2694,15425451,12605545,2819906,1216099,698694,517405,0,0
New Mexico,2008,5211507,57665,2662257,1922922,739335,41230,59742,144256,250418,660,35777,48235,159017,254544,3061,531,16941,23104,179367,4780,1127,25438,195,1601900,1198400,403500,635141,39,0,625938,9164
New York,2008,65244750,0,20150046,11294737,8855309,205253,951,1137058,527840,30875,763658,973489,5216185,1229922,47697,79,70094,43277,748000,145084,12693,147920,15078,41601778,36563948,5037830,2263004,1037531,1225473,0,0
North Carolina,2008,22809716,0,8934786,5269929,3664857,260382,14267,506003,1582400,0,388780,248159,664866,1435665,14751,0,447501,16410,609158,134196,0,206893,6756,12200339,10993927,1206412,238926,176254,60783,1889,0
North Dakota,2008,2312056,1901,873406,530078,343328,6916,9196,37426,143389,548,34438,24127,87288,165810,247,285,0,15460,88453,4087,6,57272,0,479174,317249,161925,791765,73,0,791692,0
Ohio,2008,26074544,0,12745395,7865674,4879721,92696,0,443861,1842595,10714,1141926,950940,396989,2656231,38668,9089,1016170,37535,810132,79622,40357,603016,21642,10602139,9847506,754633,70779,61359,0,9420,0
Oklahoma,2008,8330786,0,3033802,2096220,937582,86433,10988,146982,384814,1805,30499,252374,23687,891423,5030,86727,52713,17674,631732,14589,5,81952,1001,3147510,2787445,360065,1258051,54557,16138,1184765,2591
Oregon,2008,7487873,21569,969734,0,969734,15543,50,50034,413521,3673,87721,254955,144237,917300,2999,1239,13494,38919,484291,31906,29696,307164,7592,5445904,4968791,477113,133366,109549,12002,11815,0
Pennsylvania,2008,32123740,58681,15306013,8873309,6432704,277427,791573,698200,2102168,23230,1354940,1025822,159344,2822738,16458,261229,813344,71095,814486,61881,49999,717456,16790,12599859,10408439,2191420,1336449,803367,507369,0,25713
Rhode Island,2008,2761356,1083,1381115,846870,534245,11495,0,52553,126718,2806,100332,113998,126343,95792,266,710,4255,1986,52248,660,0,35182,485,1237571,1091705,145866,45795,35040,10461,0,294
South Carolina,2008,7979367,9935,4279163,3051608,1227555,150065,37957,125696,534252,0,26458,31073,322054,433877,7377,2041,77908,17157,142120,44717,0,131930,10627,3184217,2863839,320378,72175,344,71831,0,0
South Dakota,2008,1321368,0,1072252,732438,339814,13808,8334,61801,129619,325,3235,63903,58789,172165,319,93,3210,27733,47285,2513,0,78529,12483,69879,0,69879,7072,113,121,6838,0
Tennessee,2008,11538430,0,8612382,6832948,1779434,116189,0,401997,872892,0,9627,272433,106296,1287826,12222,252,644694,32401,270176,43827,5770,271065,7419,1296866,290986,1005880,341356,103464,199971,2357,35564
Texas,2008,45536833,0,34367305,21630136,12737169,784069,36318,1452882,3103170,11906,1015882,1446895,4886047,7039520,52891,8210,4474458,93664,1456101,116932,24066,719279,93919,0,0,0,4130008,5580,0,4124428,0
Utah,2008,6109256,0,2644034,1964119,679915,39697,0,132454,377261,0,30619,62246,37638,371300,1934,0,3633,27417,280189,13603,0,38417,6107,2987767,2593129,394638,106155,95,0,106060,0
Vermont,2008,2544197,810051,855261,338941,516320,19812,0,57267,91535,0,10532,59247,277927,124736,382,34,4887,6166,79077,5040,0,27221,1929,707802,623019,84783,46347,15688,26972,0,3687
Virginia,2008,18322873,22153,6008032,3571486,2436546,175654,72,396858,920063,0,150237,168118,625544,653076,11235,119,54591,22368,355683,45425,0,159171,4484,10902062,10114833,787229,737550,153377,455719,2060,126394
Washington,2008,17959833,1741691,14400668,11344622,3056046,266939,43,415028,1169900,3221,468017,413488,319410,953113,11217,15457,25029,31944,487422,61978,21521,246271,52274,0,0,0,864361,110602,709721,44038,0
West Virginia,2008,4881908,4627,2266891,1109822,1157069,9465,0,114156,404221,2870,158141,114669,353547,193468,16327,15,6750,16457,86754,3704,20811,42437,213,2057585,1518746,538839,359337,46,11699,347592,0
Wisconsin,2008,14915012,124513,6317062,4268068,2048994,54789,388,172073,1001339,908,327060,485470,6967,909664,1360,549,18360,69615,406806,36391,59542,312167,4874,7329966,6466878,863088,233807,158790,59448,5290,10279
Wyoming,2008,2404843,278812,1115861,981198,134663,1633,0,26040,75013,177,3308,27362,1130,120773,0,0,10870,32691,55722,2215,0,19275,0,0,0,0,889397,880,0,883786,4731
