States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2008,784709781,12685598,360892487,242232908,118659579,5290145,6548762,15765657,36476852,218582,14817630,16068195,23473756,49038480,453507,930221,10428251,1425281,19557824,2174842,1166706,12041370,860478,330810199,279052248,51757951,31283017,5100767,7741401,17808329,632520
Alabama,2008,9070530,301034,4433108,2287288,2145820,164827,86,293955,545726,2668,782444,145020,211094,487934,3431,0,103042,15835,212687,17762,13051,122125,1,3602361,3077553,524808,246093,0,48512,197581,0
Alaska,2008,8732385,81518,277033,0,277033,36567,9456,54698,41985,0,4091,73451,56785,137258,1924,1,878,27812,55135,0,354,40339,10815,1297513,0,1297513,6939063,23,0,6939040,0
Arizona,2008,13153271,901872,7593465,5741914,1851551,64556,569,470297,731345,430,38010,407420,138924,420770,11994,37,11232,29232,218763,27082,11994,98925,11511,4193087,3408576,784511,44077,320,0,43757,0
Arkansas,2008,7530504,682174,3778217,2807943,970274,42843,6681,147434,471214,5282,0,147482,149338,307342,1959,308,22835,20167,140112,14816,9200,96901,1044,2687405,2344876,342529,75366,0,35219,27820,12327
California,2008,117361976,2279103,39807724,31972874,7834850,327260,0,2172936,3421457,34949,754799,1037457,85992,7642180,47839,12555,61467,95460,2704632,235185,669928,3795476,19638,67595067,55745970,11849097,37902,6303,0,31599,0
Colorado,2008,9624636,0,3519589,2312731,1206858,35472,108187,190750,637193,2747,11810,220699,0,377179,6085,714,13115,75023,219590,13587,14250,33717,1098,5575967,5067981,507986,151901,427,0,151474,0
Connecticut,2008,14597982,0,5812903,3545734,2267169,47016,451789,199297,489839,8308,241913,334907,494100,355345,6478,35,17399,5831,201364,39202,0,79686,5350,8107933,7503520,604413,321801,166318,155471,12,0
Delaware,2008,2930955,0,484515,0,484515,14735,0,93974,117746,143,49805,125337,82775,1033345,804,434,618856,1995,46413,2814,6888,244748,110393,1315535,1006859,308676,97560,460,95966,0,1134
Florida,2008,35977055,2100,29420120,21518100,7902020,609185,131978,714400,2289166,19227,3159400,443732,534932,1879315,36833,9000,220112,15501,1153139,161590,33175,246783,3182,2208600,0,2208600,2466920,12220,2398700,56000,0
Georgia,2008,18070032,81928,7688845,5796653,1892192,165640,0,348218,1011202,0,0,233158,133974,496270,2343,136,32423,20907,296648,64896,26,70090,8801,9788518,8845476,943042,14471,50,14421,0,0
Hawaii,2008,5147569,0,3302179,2619595,682584,45620,0,99158,94080,0,127481,89265,226980,156781,0,0,1575,424,111262,404,15819,25790,1507,1650129,1544835,105294,38480,164,38316,0,0
Idaho,2008,3651917,0,1743294,1347327,395967,7562,0,83213,239881,1650,1599,54781,7281,270270,1655,411,2279,36403,124369,7293,33655,60054,4151,1628712,1438518,190194,9641,32,0,6758,2851
Illinois,2008,34742984,59134,16951963,10003205,6948758,158067,733278,316282,1334664,8360,1869486,613651,1914970,2343858,11488,885,334958,34864,1381390,77590,9000,487297,6386,14938327,11188605,3749722,449702,372862,76840,0,0
Indiana,2008,15117458,7170,8396009,5738829,2657180,44707,817631,188794,856301,4226,214755,519871,10895,799999,10719,304930,3364,16709,190165,226096,0,43592,4424,5747018,4837524,909494,167262,165582,0,1680,0
