States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2010,705929253,14453759,344522236,224314387,120207849,5510596,6421284,15827603,36631732,147303,14652776,16858337,24158218,50429351,450291,645518,9904881,1480979,20861195,2465838,939793,12668539,1012317,274992889,236986784,38006105,21531018,3891096,4235515,11321494,2082913
Alabama,2010,8419911,316354,4445480,2097434,2348046,167285,115,259169,558476,2104,812367,137401,411129,492844,3868,0,108682,20810,200285,19148,13525,126525,1,3044245,2616000,428245,120988,96,30354,90538,0
Alaska,2010,4522927,118870,263005,0,263005,38939,8920,51374,28834,0,4085,70147,60706,142849,2475,2,228,24059,63692,0,346,43543,8504,643068,0,643068,3355135,86,0,3355049,0
Arizona,2010,10719958,774613,6717226,4939718,1777508,65418,531,437975,801849,285,22541,338473,110436,369150,5444,0,9456,28156,176095,23701,9241,113170,3887,2829517,2416324,413193,29452,351,0,29101,0
Arkansas,2010,7559898,928627,3704634,2615290,1089344,45315,8787,144237,466482,4725,0,250841,168957,333841,2931,464,24504,26715,139582,16871,8647,113194,933,2476447,2091082,385365,116349,89,26275,65147,24838
California,2010,107195465,3353597,40933186,33552099,7381087,311242,0,2180786,3163694,15541,745467,922986,41371,8123248,51423,15027,52916,91440,3108956,270344,449195,4065097,18850,54761025,45646436,9114589,24409,0,0,24409,0
Colorado,2010,8575262,0,3504749,2039414,1465335,36209,98567,189786,602347,528,12536,203064,322298,549003,6045,828,13881,68562,379611,20937,16040,42068,1031,4449951,4089948,360003,71559,123,0,71436,0
Connecticut,2010,12344106,0,5368695,3145579,2223116,48197,420224,203955,498177,7062,279575,385636,380290,425359,7757,66,23901,5794,196778,37251,704,148558,4550,6276598,5768846,507752,273454,167977,98615,61,6801
Delaware,2010,2763032,0,462914,0,462914,16446,0,69568,112889,116,58263,131712,73920,1250726,1409,436,767478,2970,47375,4356,0,277882,148820,995524,853107,142417,53868,231,52875,0,762
Florida,2010,30484883,700,25239467,17535295,7704172,590423,148604,667800,2266814,11460,3079200,389267,550604,2124726,8583,15000,238147,15143,1282832,310101,31638,219401,3881,1793180,0,1793180,1326810,3300,1252500,71010,0
Georgia,2010,14782779,86228,6516066,4864691,1651375,169019,0,274367,854360,0,0,227180,126449,467750,1327,269,33318,24135,282516,42648,23,74279,9235,7701113,7016412,684701,11622,0,11622,0,0
Hawaii,2010,4837862,0,3044380,2316434,727946,44074,0,108646,86370,0,157661,105523,225672,145952,0,0,1461,378,100575,241,20325,21682,1290,1607643,1527790,79853,39887,0,39887,0,0
Idaho,2010,2951703,0,1509607,1126671,382936,7882,0,72602,230377,899,2138,48724,20314,268003,1399,315,1923,34035,120275,7676,35451,63088,3841,1167081,1068754,98327,7012,282,0,6730,0
Illinois,2010,27795759,50962,12932636,6859971,6072665,230394,514533,344144,1339228,7034,1794267,581817,1261248,2408528,11952,48554,339776,39606,1446595,92484,25780,387820,15961,12119931,9433245,2686686,283702,243379,40323,0,0
Indiana,2010,13795221,0,8490450,5941044,2549406,41563,873166,176426,759959,4546,198988,484686,10072,704694,11502,5444,10206,20682,393350,214505,0,41033,7972,4465440,3868093,597347,134637,133211,0,1426,0
Iowa,2010,6809344,0,3185571,2121842,1063729,14488,279413,88571,437763,3913,0,232573,7008,700707,11803,16464,33072,28663,466982,14428,12171,110012,7112,2842175,2650037,192138,80891,68358,12533,0,0
Kansas,2010,6492996,74745,2962674,2150270,812404,111405,454,138768,424703,13,385,106181,30495,304342,2811,25,45343,24987,174932,18222,6621,28850,2551,3039961,2687542,352419,111274,8396,0,102878,0
Kentucky,2010,9531404,516170,4684746,2794057,1890689,111074,187,125063,662694,0,66787,299541,625343,434765,5885,271,74724,24716,194027,16537,0,114268,4337,3538303,3154488,383815,357420,37202,3072,317146,0
Louisiana,2010,8758633,49426,4842797,2579946,2262851,55331,667151,532643,587995,5268,8828,135927,269708,426651,0,0,156648,27252,109388,12758,10911,105938,3756,2679536,2286500,393036,760223,1754,0,758469,0
Maine,2010,3489953,45713,1666914,989645,677269,16864,28173,105811,241687,2447,28816,149067,104404,248270,4711,722,8211,15886,94633,8400,0,106915,8792,1478662,1303370,175292,50394,31210,19184,0,0
Maryland,2010,15237748,774109,6257681,3753778,2503903,29874,23446,391569,722597,1541,124075,405915,804886,754089,1118,13848,93086,15384,433777,28554,0,166317,2005,7091684,6200292,891392,360185,173460,127401,0,59324
Massachusetts,2010,20090563,4549,6813852,4625682,2188170,71887,3190,310589,654649,2098,23480,579854,542423,859728,3006,423,25137,5222,362053,104298,0,249807,109782,11962894,10128035,1834859,449540,221379,166989,0,61172
Michigan,2010,22208870,2065215,12435171,9012729,3422442,140586,101815,257510,967728,6239,27698,1007873,912993,1360502,14264,0,20752,50601,877844,54712,24260,154820,163249,6163244,5531349,631895,184738,0,121632,63106,0
Minnesota,2010,17208877,765742,7882903,4426608,3456295,75051,34382,335839,832291,637,58,428767,1749270,1055697,1788,1174,7955,58140,557733,46189,779,332015,49924,7179853,6458111,721742,324682,148422,152970,23290,0
Mississippi,2010,6268823,24396,4074607,2849099,1225508,41208,155123,194020,393363,0,1970,156558,283266,408756,2815,6144,112064,14176,124437,33255,8543,93219,14103,1668812,1352481,316331,92252,40,0,90832,1380
Missouri,2010,9707053,29538,4528599,2919117,1609482,32785,390931,270053,721917,0,0,106163,87633,594456,4890,1766,91566,32248,264213,17215,20970,143270,18318,4533443,4326507,206936,21017,246,8361,2,12408
Montana,2010,2142809,236830,532013,0,532013,31920,52414,65048,204390,86,50622,88034,39499,308933,2053,4669,2925,44503,142189,8500,7,97429,6658,808039,714814,93225,256994,48,0,253649,3297
Nebraska,2010,3864897,1168,1953532,1442951,510581,27002,6691,45463,298805,149,57806,52487,22178,226944,3508,184,14989,17247,79479,10858,0,74505,26174,1669163,1514831,154332,14090,67,10550,3473,0
Nevada,2010,5835963,363218,4274994,2559489,1715505,39380,864252,234253,292804,0,23025,110345,151446,572427,0,107312,65226,8806,158987,20136,0,207331,4629,0,0,0,625324,0,57462,182752,385110
New Hampshire,2010,2271936,393796,899397,0,899397,12865,147,75172,147805,1591,85201,237988,338628,312188,3704,140,38850,10018,131100,12122,10049,105485,720,582034,82365,499669,84521,51,84470,0,0
New Jersey,2010,25927891,3908,11307452,7898165,3409287,126367,296125,509305,535281,0,938945,759742,243522,1388521,10399,66807,227497,13484,578968,50345,4172,434587,2262,12370417,10322943,2047474,857593,581624,275969,0,0
New Mexico,2010,4295237,59624,2304563,1685302,619261,39337,58654,122703,227633,564,28236,37926,104208,194590,3534,387,9071,25372,121770,3705,1332,25186,4233,1081700,956600,125100,654760,8,0,654752,0
New York,2010,63807610,0,21104484,10568466,10536018,224621,690,1430125,1613229,22472,1083893,1351332,4809656,1541769,49000,16,59899,75629,965000,136785,34047,220000,1393,38646731,34751382,3895349,2514626,866377,311230,0,1337019
North Carolina,2010,21514930,0,9433591,5856993,3576598,294532,15678,507038,1551660,0,398661,273946,535083,1533688,15507,0,621546,16331,548379,127096,0,197097,7732,10428003,9133689,1294314,119648,83980,34204,1464,0
North Dakota,2010,2645695,2125,948778,603740,345038,7368,8387,35894,151050,291,34002,23875,84171,166119,257,281,0,14906,87145,4040,4,59486,0,392111,303764,88347,1136562,9,0,1136553,0
Ohio,2010,23583596,0,12245348,7253496,4991852,93643,0,432925,1727242,8370,1144976,886875,697821,3243554,38882,4417,1387449,38661,832589,89456,33179,795721,23200,8029120,7886802,142318,65574,55024,0,10550,0
Oklahoma,2010,7082161,0,2975665,1968309,1007356,90066,13908,165579,431151,1319,31899,248472,24962,886872,1192,121596,46198,19969,579380,15916,5,89049,13567,2441183,2224783,216400,778441,23434,11321,743686,0
Oregon,2010,7475135,25092,999939,0,999939,16252,187,72876,403284,3014,75745,239254,189327,1030086,3390,2727,15284,44549,496097,28501,10263,422705,6570,5299127,4945538,353589,120891,98034,10115,12742,0
Pennsylvania,2010,30169122,55363,15464898,8029797,7435101,297638,1231127,778175,2020099,17460,1292373,1090892,707337,2546905,16333,182899,538905,70733,800432,60995,61214,796930,18464,11001243,9352287,1648956,1100713,728713,347108,0,24892
Rhode Island,2010,2568759,2046,1404981,798481,606500,11924,0,62148,123805,1476,95318,137501,174328,93364,109,427,4264,2253,53385,626,0,32097,203,1031342,909674,121668,37026,30131,6895,0,0
South Carolina,2010,7242724,9986,3970443,2724641,1245802,148942,36612,144629,521689,0,37304,35257,321369,409053,8405,2203,73852,18142,127950,42546,0,123849,12106,2821500,2673000,148500,31742,73,31669,0,0
South Dakota,2010,1321228,0,1081277,742363,338914,14766,9032,63285,125223,239,3514,67747,55108,200066,695,7680,3911,28236,52822,3611,0,87747,15364,31157,0,31157,8728,143,175,8410,0
Tennessee,2010,10513788,0,8027796,6130877,1896919,117516,0,555163,824795,0,10328,290438,98679,1167316,1161,296,551412,32362,249577,45118,7372,271796,8222,1074076,172459,901617,244600,81091,124226,2251,37032
Texas,2010,39516186,0,31208038,19804177,11403861,812904,37497,1301104,3053538,10245,639831,1465111,4083631,6451744,72159,8261,3827871,96659,1549349,102556,24947,604609,165333,0,0,0,1856404,81,0,1856323,0
Utah,2010,5237427,0,2407687,1638906,768781,41260,0,103119,351449,0,28817,58676,185460,389896,1936,0,3581,28418,292359,13806,0,43906,5890,2350621,2104641,245980,89223,61,0,89162,0
Vermont,2010,2511387,941894,845336,311140,534196,20552,0,55825,99278,0,12363,70058,276120,106558,381,37,1700,6585,72214,7241,0,16641,1759,574285,489107,85178,43314,14165,24808,0,4341
Virginia,2010,16411055,31181,5871652,3543210,2328442,182381,112,414165,882919,0,158487,175581,514797,655193,11700,86,54145,24432,339581,58743,0,162137,4369,9449125,8659470,789655,403904,5670,289488,1882,106864
Washington,2010,16106154,1822278,12849019,9607285,3241734,282555,0,405923,1196688,2049,448251,426265,480003,933241,12676,7061,25834,35222,463075,66666,18059,241255,63393,0,0,0,501616,81720,398991,20905,0
West Virginia,2010,4803704,5834,2341023,1156513,1184510,8410,31726,143912,390916,1063,169160,114128,325195,143456,22422,193,6140,1061,3381,97142,408,9658,3051,1759054,1521895,237159,554337,100,7933,546304,0
Wisconsin,2010,14368569,142653,6686839,3944260,2742579,53792,333,146886,972979,306,350580,704156,513547,833180,1682,597,18231,71686,471556,42309,39565,183214,4340,6643528,5791991,851537,62369,872,44308,5004,12185
Wyoming,2010,2158260,377209,915481,789413,126068,1644,0,25617,66777,153,4254,26375,1248,139052,0,0,11666,35955,65895,2188,0,23348,0,0,0,0,726518,28,0,721002,5488
