States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2014,874957406,16295747,414705742,273337866,141367876,6170211,7233550,18158513,41513557,124332,14234662,17976483,35956568,51399445,610716,472539,6249271,1542815,23846051,2511061,965783,13911180,1290029,360148729,313241528,46907201,32407743,4797466,7249059,17789324,2571894
Alabama,2014,9296846,332689,4812674,2393192,2419482,181427,70,304441,534396,1547,734105,117112,546384,386378,4225,0,78166,21311,189345,20920,14233,58178,0,3612991,3206583,406408,152114,8,36669,115437,0
Alaska,2014,3392870,128076,257696,0,257696,39078,9205,62292,42467,0,4230,72004,28420,141948,1905,1,0,27833,59497,0,840,43060,8812,408938,0,408938,2456212,0,0,2456212,0
Arizona,2014,13424271,823508,8081993,6317644,1764349,71136,533,448115,779970,216,21760,311811,130808,437127,5246,0,10368,32787,198227,30215,25986,131360,2938,4037593,3462413,575180,44050,0,17860,26190,0
Arkansas,2014,8917322,1057918,4324157,3130274,1193883,51618,39660,182092,454909,3090,0,225809,236705,368622,4187,426,27999,23533,153445,17657,9985,129711,1679,3000653,2602160,398493,165972,3,32715,108511,24743
California,2014,138131690,2176236,50002053,37224077,12777976,354297,0,2362738,6063356,13899,663448,833126,2487112,8984354,55550,15457,59777,101237,3745377,280038,388443,4330853,7622,76854157,67995659,8858498,114890,0,0,38686,76204
Colorado,2014,11755394,0,4474294,2615601,1858693,40886,105420,239431,647104,609,10819,194192,620232,659616,7212,791,17569,71142,474534,28660,14156,44577,975,6375963,5658457,717506,245521,434,0,245087,0
Connecticut,2014,15937742,0,6782404,3981362,2801042,60686,348353,205690,503252,6085,315287,376489,985200,433024,9265,232,27828,5269,211091,43717,676,132703,2243,8399960,7772602,627358,322354,147737,173839,0,778
Delaware,2014,3176169,0,480352,0,480352,19616,0,85735,113326,82,59128,114659,87806,1301737,1547,328,1002576,2916,51790,5712,0,231407,5461,1319213,1040341,278872,74867,1434,72347,0,1086
Florida,2014,36335598,250,29998178,21480910,8517268,452370,187639,702340,2422718,10412,2719350,1322241,700198,2133240,8663,14000,298604,16275,1380910,187182,24569,198483,4554,2043750,0,2043750,2160180,1710,2109370,49100,0
Georgia,2014,18618093,788350,7310132,5125502,2184630,181875,0,372122,1006494,0,0,216640,407499,609944,3829,148,48078,24899,337456,91117,0,83662,20755,9909378,8965572,943806,289,0,289,0,0
Hawaii,2014,6052795,0,3847662,2825041,1022621,48305,0,142051,93598,0,166179,107685,464803,243007,0,0,1691,536,168980,360,21329,38023,12088,1871506,1745461,126045,90620,14789,75831,0,0
Idaho,2014,3669222,0,1818810,1373666,445144,8780,0,75205,248454,1209,1840,47816,61840,316331,1617,754,2203,34436,135169,9943,53613,74790,3806,1528077,1338075,190002,6004,0,0,6004,0
Illinois,2014,39922538,54710,15758509,8515410,7243099,279587,662592,359240,1293967,6534,1651211,859865,2130103,2676643,12626,14972,346589,42936,1623571,116206,16217,469458,34068,21081986,16642154,4439832,350690,294138,56552,0,0
Indiana,2014,16846961,8052,10395150,7003426,3391724,45955,655894,223072,814549,2273,252652,447561,949768,590483,13073,5722,7045,20011,208572,207097,0,46157,82806,5763064,4896317,866747,90212,87712,0,2500,0
Iowa,2014,8572532,0,4072631,2959924,1112707,14187,282713,105532,452596,3962,0,225375,28342,808047,14879,22703,35438,28262,548670,21867,17590,115632,3006,3586277,3197578,388699,105577,90791,14786,0,0
Kansas,2014,7334481,81267,3890900,2983664,907236,126861,343,198355,441843,0,353,97813,41668,395454,3575,15,63582,23522,212064,19622,5340,65516,2218,2841841,2511660,330181,125019,136,0,124883,0
Kentucky,2014,11103545,562370,5354124,3131157,2222967,128534,214,141639,886161,2421,63898,248979,751121,472225,6374,291,100843,26536,190370,16600,0,126113,5098,4423722,3749258,674464,291104,45844,3271,241989,0
Louisiana,2014,9695281,55363,5115636,2923336,2192300,56967,675386,429146,588860,4385,9158,130045,298353,427090,0,0,188197,29665,75628,11581,7622,110176,4221,3234892,2753680,481212,862300,150,0,862150,0
Maine,2014,3847181,35755,1911398,1191685,719713,17923,50854,106372,240901,1816,32432,136160,133255,254251,5393,654,9343,16282,102306,10064,0,101562,8647,1597038,1414110,182928,48739,23962,24777,0,0
Maryland,2014,18929069,725694,8022537,4195996,3826541,30808,431851,475294,812739,3071,139346,402403,1531029,853851,1358,1158,106658,18149,474475,36859,0,213324,1870,8756557,7773773,982784,570430,213780,158844,0,197806
Massachusetts,2014,25237003,4710,7933030,5518580,2414450,78817,3758,346828,732207,337,23736,660029,568738,1012557,3056,762,25972,5456,390879,105322,0,317250,163860,15440841,13246221,2194620,845865,401512,246850,0,197503
Michigan,2014,25100605,1919910,12606196,8715827,3890369,143641,106903,362397,964119,4252,28412,942148,1338497,1511695,16540,0,22621,58440,979061,54695,27357,164127,188854,8755723,7874712,881011,307081,177,233416,73488,0
Minnesota,2014,23245827,837145,9709772,5398173,4311599,84202,43134,421688,884162,613,51,657906,2219843,1330394,2304,1228,7486,64903,694226,44233,928,451755,63331,10949487,9623831,1325656,419029,181388,187063,50578,0
Mississippi,2014,7574515,25103,4704955,3304632,1400323,42402,127777,263809,409836,0,4384,146050,406065,559218,2945,18619,182624,17862,154677,40086,3212,100025,39168,2193646,1667344,526302,91593,9,0,91059,525
Missouri,2014,11240654,29725,4915210,3285563,1629647,35760,361046,302166,696458,0,0,99527,134690,564471,5308,1980,59421,32740,272542,15829,20118,134644,21889,5719700,5361976,357724,11548,129,11340,5,74
Montana,2014,2655553,268508,550254,0,550254,30053,56900,88106,196965,21,47390,85404,45415,314271,3215,8512,3311,45606,136787,8042,12,98851,9935,1213400,1063261,150139,309120,4,0,305614,3502
Nebraska,2014,4887753,143,2303952,1763695,540257,30258,5342,42746,335153,143,53009,63425,10181,137097,1475,1290,12475,13576,92600,6062,0,9619,0,2430755,2124164,306591,15806,0,9044,6762,0
Nevada,2014,7143169,258600,5714197,3828869,1885328,42917,947290,264522,296649,0,22636,102116,209198,608375,0,95717,66665,10496,166067,26517,0,239476,3437,0,0,0,561997,50,64712,111395,385840
New Hampshire,2014,2285717,383126,880245,0,880245,12755,444,84518,146101,827,69877,215012,350711,280011,4306,244,50783,9804,94395,12125,9081,91654,7619,635590,92743,542847,106745,0,106745,0,0
New Jersey,2014,29679226,6705,12751851,8885847,3866004,139438,219000,599169,539155,0,1012028,740605,616609,1516698,3965,49618,275705,13206,617428,53016,6765,495599,1396,14341741,11973673,2368068,1062231,685459,376772,0,0
New Mexico,2014,5757432,105637,2799875,2098676,701199,44968,70226,99832,234881,596,29894,81272,139530,282382,0,373,24464,24655,188156,3671,1151,39912,0,1503195,1297493,205702,1066343,0,0,1066343,0
New York,2014,76978982,0,23544789,12668587,10876202,250926,996,1345394,1630358,21420,929929,1446184,5250995,1884841,64576,50,63488,51775,1357553,145500,24165,176275,1459,47826461,42964774,4861687,3722891,1238320,1037341,0,1447230
North Carolina,2014,23470294,0,9980713,5842182,4138531,343344,14157,476376,1915670,0,403194,281773,704017,1664474,15916,176,625656,17488,591457,111132,17268,261360,24021,11751148,10390520,1360628,73959,19932,52251,1776,0
North Dakota,2014,6120435,3026,1848130,1320196,527934,9220,3620,51047,228022,1159,40411,31262,163193,227245,367,801,0,14814,119312,5289,6,86656,0,748966,498528,250438,3293068,15,0,3293053,0
Ohio,2014,27020507,0,15617920,10217826,5400094,98397,273393,510345,1839594,5024,1125461,815532,732348,2928276,41327,16209,1026121,38428,725263,82388,29523,940646,28371,8424725,8424843,-118,49586,39392,0,10194,0
Oklahoma,2014,9103302,0,3989358,2599203,1390155,110941,20823,294762,450807,1113,46306,292752,172651,1057768,1326,146857,35351,19910,754435,20109,947,78572,261,3359418,2962128,397290,696758,1056,16296,679406,0
Oregon,2014,9680004,21740,1443722,0,1443722,17627,0,84376,512342,2253,85401,257583,484140,957961,4609,812,29471,54100,514003,41484,14061,292563,6858,7144552,6649418,495134,112029,85491,3114,23424,0
Pennsylvania,2014,34192869,45017,17419429,9497906,7921523,346008,1400232,773462,2231348,11758,1284892,1028006,845817,2302934,16952,12157,229686,74679,837823,54847,75269,981965,19556,13111325,10809736,2301589,1314164,849194,438984,0,25986
Rhode Island,2014,2974435,2567,1529371,906687,622684,18383,0,61328,95915,1180,101590,138266,206022,137657,76,237,5213,1714,69681,4967,0,52462,3307,1247164,1109636,137528,57676,40299,17377,0,0
South Carolina,2014,9004192,21664,4628363,3370643,1257720,162313,38481,214600,529655,0,28450,25632,258589,471862,11382,1371,95139,17541,214192,8813,10144,96472,16808,3821969,3455706,366263,60334,0,60334,0,0
South Dakota,2014,1608496,0,1296748,914979,381769,16205,8885,77374,138087,461,3709,61811,75237,277787,840,6980,4688,27781,76143,3773,0,135841,21741,24819,0,24819,9142,0,192,8950,0
Tennessee,2014,11806329,0,8758085,6192281,2565804,147812,0,749470,845395,0,6840,261101,555186,1335392,1317,376,676478,32959,269317,47194,5840,293122,8789,1416190,239219,1176971,296662,107341,167055,2487,19779
Texas,2014,55146619,0,45632367,32336032,13296335,1068051,29659,1886289,3325916,7357,652229,1446144,4880690,3499902,71661,20664,124996,104390,2177571,139337,28080,668807,164396,0,0,0,6014350,0,0,6014350,0
