States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
Missouri,2009,10274618,30031,4598920,3030477,1568443,31990,370447,292412,707331,0,0,107864,58399,571673,5086,1713,88136,31749,268599,17114,21325,120468,17483,5050237,4771576,278661,23757,3030,8576,18,12133
Montana,2009,2407400,235150,529392,0,529392,28095,62487,66755,191188,96,50968,89776,40027,297986,2087,923,2768,45849,139012,7428,9,92600,7310,991451,827196,164255,353421,213,0,349714,3494
Nebraska,2009,4000939,1964,2015283,1504174,511109,26925,6225,51040,292857,216,59116,70438,4292,167014,542,735,2269,14727,74723,9820,0,47309,16889,1800533,1602091,198442,16145,493,10934,4718,0
Nevada,2009,5611626,231596,4355689,2684029,1671660,37867,905656,238622,298135,0,23419,119566,48395,530332,0,99863,64913,8591,163707,15964,0,172176,5118,0,0,0,494009,0,71043,145450,277516
New Hampshire,2009,2125722,392652,829654,0,829654,12451,256,81543,132122,1967,87002,195034,319279,227589,3245,174,38589,10324,98938,12893,9406,53814,206,591622,98191,493431,84205,77,84128,0,0
New Jersey,2009,27186553,2405,11726016,8188990,3537026,104372,375679,507344,540568,0,1002754,766142,240167,1401857,7838,71230,263405,13304,486875,42291,1570,512812,2532,13061337,10663866,2397471,994938,639544,355394,0,0
New Mexico,2009,4817277,65076,2484612,1881651,602961,39250,62233,128731,188963,614,33323,41619,108228,214745,3583,420,13012,23537,145964,3874,851,22468,1036,1121000,958500,162500,931844,32,0,931812,0
New York,2009,64756423,0,20238418,11073898,9164520,206453,773,1111852,1613302,27939,799294,1337665,4067242,1255337,43701,69,62981,47059,723000,138239,29180,209057,2051,41267694,36840019,4427675,1994974,1165247,829727,0,0
North Carolina,2009,20525663,0,8435185,4963434,3471751,264067,14748,506452,1515944,0,393923,243370,533247,1474278,15261,0,534642,16877,572968,130377,0,196785,7368,10461798,9560353,901445,154402,116624,36038,1740,0
North Dakota,2009,2414494,1942,944568,607171,337397,7161,10352,34583,143796,304,36822,24114,80265,140820,250,286,0,14903,78599,4116,6,42660,0,499707,370165,129542,827457,40,0,827417,0
Ohio,2009,23920056,0,12149489,7328388,4821101,93782,0,425089,1726742,9544,1172100,924764,469080,2880397,33302,8551,1222426,40651,806294,80216,31018,635544,22395,8844715,8323352,521363,45455,34403,0,11052,0
Oklahoma,2009,8192191,0,3158336,2162693,995643,90064,13972,157894,420109,1648,32729,257812,21415,1020583,9831,221533,63327,19824,582683,15257,9,105543,2576,2887338,2544576,342762,1125934,43804,12822,1067182,2126
Oregon,2009,7115043,22121,885526,0,885526,15852,84,57050,397609,2149,21297,248205,143280,689616,3423,2631,10372,40241,437866,29011,3289,156684,6099,5406136,5162384,243752,111644,87211,11395,13038,0
Pennsylvania,2009,30071179,55536,15096410,8496182,6600228,294334,1006612,731865,2025778,13943,1382977,989716,155003,2503297,16224,18342,620004,68642,824678,61861,62546,813026,17974,11290770,9550238,1740532,1125166,748648,349181,0,27337
Rhode Island,2009,2586184,1617,1383764,814511,569253,10819,0,48771,122833,2490,125385,130503,128452,96880,121,429,4289,1795,52317,658,0,36317,954,1069382,960885,108497,34541,27262,7149,0,130
South Carolina,2009,7636726,9994,4078360,2910183,1168177,150146,33508,125797,514667,0,26961,30573,286525,452195,8306,2600,78570,15907,152287,46989,0,138676,8860,3061500,2812300,249200,34677,153,34524,0,0
South Dakota,2009,1341758,0,1083611,756598,327013,14232,8044,63165,117489,276,3322,68323,52162,200608,553,7719,3033,28081,48655,2062,0,100759,9746,48772,0,48772,8767,16,163,7668,920
Tennessee,2009,10433133,0,8000471,6356962,1643509,116056,0,299006,815611,0,8071,301219,103546,1128651,1158,353,524685,23464,251335,43048,4402,274401,5805,1037946,221685,816261,266065,91490,138055,2413,34107
Texas,2009,41779699,0,32634977,21053923,11581054,796949,37277,1253788,3034242,10602,842657,1556793,4048746,6847541,70850,8365,4274325,99242,1496478,103907,21798,674840,97736,0,0,0,2297181,2004,0,2295177,0
Utah,2009,5422858,0,2398162,1744035,654127,40762,0,132214,350469,0,26117,59821,44744,356742,1890,0,3249,28752,256863,14301,0,45734,5953,2565512,2319632,245880,102442,321,0,102121,0
Vermont,2009,2505704,911811,822006,321162,500844,20682,0,56111,84044,0,12022,63796,264189,98363,371,39,2053,6401,62890,5989,0,16253,4367,619670,532911,86759,53854,23397,26472,0,3985
Virginia,2009,16607511,31375,5638353,3372974,2265379,180096,96,387305,891401,0,151278,167579,487624,670999,11514,118,53675,22421,350852,57979,0,170158,4282,9827845,9194355,633490,438939,6005,313594,1997,117343
Washington,2009,16407536,1785065,13110784,10035359,3075425,276082,98,408464,1181837,2858,467235,431998,306853,928056,11336,7240,24652,32936,455901,63330,19202,254931,58528,0,0,0,583631,138535,415415,29681,0
West Virginia,2009,4787352,4868,2226323,1110017,1116306,9479,0,113528,384538,2410,163291,115095,327965,192985,17483,15,2463,17060,89837,3901,18910,43100,216,1977933,1557403,420530,385243,29,8537,376677,0
Wisconsin,2009,14447245,134006,6647399,4084147,2563252,54047,329,152050,970173,678,309838,593575,482562,959232,1268,641,17122,72187,465014,42715,63455,291512,5318,6628049,5971177,656872,78559,20853,41160,5669,10877
Wyoming,2009,2763610,287169,1120303,989738,130565,1672,0,29845,67134,192,4158,26449,1115,152210,0,0,11533,36544,81105,2178,0,20850,0,0,0,0,1203928,113,0,1197540,6275
