States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2009,713474529,12982802,342604156,226781684,115822472,5347705,6424240,15026718,36471286,181232,14898003,16689547,20783741,49145634,430066,716950,10194835,1449040,19626624,2196262,944723,12726631,860503,285158344,245880786,39277558,23583593,4628295,4940091,13391856,623351
Alabama,2009,8306446,315784,4203283,2069535,2133748,167830,87,269808,546467,2427,801096,141176,204857,478927,3881,0,109384,21549,195459,15625,14360,118668,1,3156731,2662759,493972,151721,0,36347,115374,0
Alaska,2009,4955884,111251,250267,0,250267,39626,9161,52286,10064,0,4127,73079,61924,132504,1819,1,889,24492,55267,0,169,40005,9862,632123,0,632123,3829739,175,0,3829564,0
Arizona,2009,11134403,835240,6710545,4878883,1831662,62799,542,439132,809073,293,24049,373882,121892,400987,7928,0,28299,28997,196054,24529,1341,110725,3114,3167940,2575753,592187,19691,210,0,19481,0
Arkansas,2009,7467679,733035,3750943,2765996,984947,45623,7076,149457,462221,5334,0,171038,144198,328393,1619,441,23967,21591,141524,16782,8520,113098,851,2585173,2238958,346215,70135,224,24613,33547,11751
California,2009,101007459,2335214,36381343,28972302,7409041,323934,0,2053850,3180128,30737,782368,1000456,37568,8371914,49448,11860,59297,95426,2978475,258998,476323,4438221,3866,53891638,44355959,9535679,27350,245,0,27105,0
Colorado,2009,8682822,0,3299250,2123671,1175579,35972,95650,197414,616589,621,12168,217165,0,365544,5939,830,14674,71796,211319,14171,12739,33003,1073,4732991,4403446,329545,285037,22,0,285015,0
Connecticut,2009,12160036,0,5425933,3290050,2135883,47064,445272,159588,490804,7583,277337,316246,391989,363502,6571,38,16731,6195,193402,40773,0,94568,5224,6053331,5609270,444061,317270,230503,86699,68,0
Delaware,2009,2799103,0,474278,0,474278,15519,0,88849,114579,121,57592,125505,72113,1147987,1187,440,705618,2701,48236,4362,0,245161,140282,1119370,910693,208677,57468,0,56586,0,882
Florida,2009,32053099,800,26977862,19228000,7749862,590400,114065,651300,2229827,14118,3170100,447061,532991,1823237,8629,9000,239887,15509,1119332,181209,30500,215104,4067,1836800,0,1836800,1414400,4800,1328300,81300,0
Georgia,2009,16077948,82764,7001141,5306491,1694650,166618,0,314583,861153,0,0,229673,122623,481555,2053,220,30241,19390,283406,64162,16,72851,9216,8495902,7801185,694717,16586,83,16503,0,0
Hawaii,2009,4712651,0,3125035,2461618,663417,47242,0,98038,91712,0,126069,88145,212211,146270,0,0,1402,397,100413,291,16171,26390,1206,1417299,1338702,78597,24047,274,23773,0,0
Idaho,2009,3171863,0,1574348,1206137,368211,8122,0,78886,218180,1325,2018,52918,6762,268208,1486,325,1927,35562,122231,7773,32416,62404,4084,1317844,1175604,142240,11463,264,0,4952,6247
Illinois,2009,27415532,63853,13833076,7408241,6424835,157622,575473,392749,1467402,6875,1908728,582323,1333663,2257605,11729,3320,311488,37128,1373388,73895,5385,432711,8561,10932600,9222600,1710000,328398,287757,40641,0,0
Indiana,2009,14901436,7499,8856580,6205638,2650942,43498,880988,187410,798739,3975,215659,510585,10088,697487,11244,204763,3629,18674,207710,203899,0,40733,6835,5152733,4313759,838974,187137,185662,0,1475,0
Iowa,2009,6985090,0,3272176,2201396,1070780,14704,289867,90035,434243,3778,0,238153,0,658939,11004,24016,30855,28259,426321,18345,10136,108486,1517,2967555,2703190,264365,86420,72562,13858,0,0
Kansas,2009,6694630,80137,3044904,2227183,817721,111589,515,136544,422865,265,512,112943,32488,301953,2745,29,50352,23140,171588,15537,6840,29038,2684,3102448,2731559,370889,165188,22530,0,142658,0
Kentucky,2009,9740886,513121,4663830,2857665,1806165,111596,231,125168,632655,4388,61229,214597,656301,458548,6272,350,82531,26724,206782,16100,0,115300,4489,3705002,3315368,389634,400385,41234,3166,355985,0
Louisiana,2009,10201931,64377,5202904,2963758,2239146,56881,715458,484858,600786,5973,12788,145578,216824,464971,0,0,232660,27844,78172,10967,8416,103551,3361,3553178,2940633,612545,916501,5068,0,911433,0
Maine,2009,3488960,41719,1640671,1012357,628314,17438,26161,89528,220772,2918,26763,144425,100309,243168,4704,727,7976,16006,91030,10841,0,102616,9268,1513796,1370710,143086,49606,31819,17787,0,0
Maryland,2009,15285561,688535,6222911,3851341,2371570,29168,19909,390848,734836,1609,124914,405558,664728,763284,1014,27,91758,15595,438868,29932,0,184015,2075,7227237,6478236,749001,383594,205627,115670,0,62297
Massachusetts,2009,19682914,4255,6096326,3880087,2216239,72598,3366,335646,654022,2773,23504,587331,536999,753807,2941,427,24429,5620,293845,93471,0,219336,113738,12388638,10599085,1789553,439888,259734,135595,0,44559
Michigan,2009,22757818,2163428,12504160,8998942,3505218,140488,121364,261003,969959,7488,28913,1043532,932471,1351556,14078,0,19585,51020,874833,58595,25328,154244,153873,6560001,5856751,703250,178673,147,125293,53233,0
Minnesota,2009,17161299,713019,7362340,4375200,2987140,75225,37750,330206,750308,705,49,422780,1370117,1022182,1724,1143,8871,58586,526032,47977,872,329440,47537,7727174,6948119,779055,336584,129811,160953,45820,0
Mississippi,2009,6490579,24393,4138039,3026497,1111542,42464,172429,188256,425020,0,1961,83589,197823,403120,2828,5004,111892,15771,125497,32510,8215,88486,12917,1809893,1485592,324301,115134,0,0,113762,1372
