States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2015,918361771,17534537,432460913,287338745,145122168,6430964,7448559,19109304,42525011,121505,13635800,17743883,38107142,52232278,600725,677846,5731389,1568264,24448391,2612982,1078130,14186982,1327569,387487181,338426933,49060248,28646862,4670089,8187150,13121979,2667644
Alabama,2015,9755439,336825,4936049,2463912,2472137,192490,18,312030,560188,1514,734531,116414,554952,493883,4217,0,156398,22443,211144,26342,14670,58668,1,3870173,3336587,533586,118509,0,39274,79235,0
Alaska,2015,1363350,127821,255971,0,255971,39836,9144,66456,42003,0,4200,65823,28509,115886,1845,21,0,28713,29500,0,866,44663,10278,227852,0,227852,635820,0,0,635820,0
Arizona,2015,13721262,882643,7885555,6105909,1779646,71270,0,466788,753814,185,22703,314239,150647,458737,6764,0,10105,34229,207819,30534,17546,148516,3224,4451843,3760883,690960,42484,0,17622,24862,0
Arkansas,2015,9168570,1066789,4410340,3182211,1228129,53256,47484,190884,461731,2791,0,225097,246886,384306,4751,497,27177,24492,157628,18177,9032,140712,1840,3140706,2664153,476553,166429,3,35508,104383,26535
California,2015,151234534,2315507,52412359,38464704,13947655,357373,0,2444573,5711160,14009,627030,832379,3961131,9420863,56512,19466,66966,103499,3860058,308834,518508,4482852,4168,86936733,77929551,9007182,149072,369,0,67500,81203
Colorado,2015,12747749,0,4744644,2817773,1926871,41392,110105,257795,667948,615,0,202241,646775,680739,6875,754,17400,75758,490175,33055,13529,42881,312,7029683,6360629,669054,292683,0,0,292683,0
Connecticut,2015,16184490,0,6554350,4082787,2471563,61612,307841,189362,481825,6341,283074,357944,783564,452687,9040,232,27828,5116,219903,49256,676,135825,4811,8832085,8182071,650014,345368,160712,184030,0,626
Delaware,2015,3513916,0,498557,0,498557,20708,0,93763,117401,71,56644,102695,107275,1389894,1910,305,1206182,3316,54663,5681,0,112096,5741,1540994,1140248,400746,84471,5846,77590,0,1035
Florida,2015,37217689,0,30336315,21800895,8535420,459019,198094,690160,2481760,7401,2689490,1192906,816590,2138834,8515,14000,309821,17303,1381688,155703,25316,216891,9597,2237500,0,2237500,2505040,410,2467410,37220,0
Georgia,2015,19732308,863586,7555865,5256592,2299273,184374,0,419653,1025819,0,0,215055,454372,633573,3972,0,46579,23867,351212,102248,0,82893,22802,10679060,9678524,1000536,224,0,224,0,0
Hawaii,2015,6485563,0,4082196,2992707,1089489,50281,0,150872,93066,0,163481,129659,502130,252431,0,0,1647,514,178663,272,20755,39372,11208,2060164,1987915,72249,90772,12071,78701,0,0
Idaho,2015,3976017,0,1941280,1463802,477478,8937,0,84498,258993,3511,1918,48408,71213,333144,1701,267,2301,37603,142970,10580,56699,77194,3829,1695450,1478368,217082,6143,0,0,6143,0
Illinois,2015,40821385,60959,17641282,10489152,7152130,283177,746846,379773,1293272,6360,1675695,861954,1905053,2730407,13156,14861,358214,39734,1675694,118374,18196,455585,36593,19968083,15913816,4054267,420654,354570,66084,0,0
Indiana,2015,17435854,8834,10639926,7279604,3360322,46064,618600,221100,832006,2186,245615,439264,955487,643936,13464,5787,9098,19508,255110,223978,0,33230,83761,6136549,5232977,903572,6609,4594,0,2015,0
Iowa,2015,9189255,1772,4268628,3040627,1228001,22686,288085,109593,541813,3865,6177,223069,32713,874778,15315,23268,42286,27891,594080,20871,9793,139123,2151,3934855,3471617,463238,109222,89807,19415,0,0
Kansas,2015,7884091,658758,3977806,3052986,924820,132589,319,211766,439045,0,371,96303,44427,378193,2567,7261,22556,25092,226837,11314,5248,74704,2614,2721257,2262951,458306,148077,0,0,148077,0
Kentucky,2015,11597983,563435,5450451,3267331,2183120,131951,155,146481,850276,2965,63575,242232,745485,487834,6495,248,100367,27925,202663,16428,0,128470,5238,4821411,4069501,751910,274852,50976,3263,220613,0
Louisiana,2015,9696730,56658,5285626,2926783,2358843,57416,713800,438179,606410,4356,9072,138400,391210,386358,0,0,146329,31098,76004,11082,6989,110708,4148,3236754,2983104,253650,731334,4,0,731330,0
Maine,2015,4064075,37028,1999051,1280298,718753,18312,51555,98353,243891,1883,33484,136913,134362,268026,6300,643,9845,16802,106876,9600,0,108891,9069,1702096,1533130,168966,57874,31196,26678,0,0
Maryland,2015,20001304,738170,8450318,4409919,4040399,30956,567795,444691,923483,1138,136006,391451,1544879,851466,1385,2776,108642,18360,485119,35987,0,197289,1908,9349733,8346145,1003588,611617,243412,170410,0,197795
Massachusetts,2015,26973576,5311,8274172,5803934,2470238,80815,4470,367832,756121,1203,23736,647101,588960,1213135,3345,170841,25653,5489,441078,109266,0,295550,161913,16719284,14491903,2227381,761674,340903,261898,0,158873
Michigan,2015,26957337,1963036,13124461,9211783,3912678,145399,110785,322999,1010395,3904,28084,959852,1331260,1563500,17201,0,22820,62501,1018071,56917,29803,159782,196405,10010943,8825375,1185568,295397,110,258399,36883,5
Minnesota,2015,24301971,839487,9953411,5483791,4469620,85142,49063,437806,884596,514,12,652046,2360441,1392055,2307,1181,7824,63283,727385,45713,734,484485,59143,11846676,10370047,1476629,270342,49711,85460,49711,85460
Mississippi,2015,7902885,25961,4873777,3422774,1451003,42094,131270,299127,428278,0,1655,148302,400277,606432,3282,33981,170546,2372,162773,45902,9054,122097,56425,2317985,1783438,534547,78730,4,0,78726,0
