States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
Missouri,2015,12005133,30265,5084211,3380034,1704177,36208,366381,376811,695145,0,0,99436,130196,596983,5122,1799,29978,32827,278327,18016,19696,139677,71541,6281907,5856131,425776,11767,92,11630,1,44
Montana,2015,2843465,268057,603200,0,603200,33860,59808,97404,226806,39,47026,85042,53215,350769,2222,4587,3594,53632,157999,9560,7,108470,10698,1348517,1180478,168039,272922,0,0,269287,3635
Nebraska,2015,5086759,119,2315830,1787880,527950,29873,6309,31036,327665,150,57349,63585,11983,172391,1817,864,5849,13786,101808,10395,0,36832,1040,2584059,2239582,344477,14360,0,9078,5282,0
Nevada,2015,7532989,242168,6038768,4080507,1958261,43799,952593,293922,304364,0,24106,116840,222637,649333,0,86564,97596,10513,173550,29919,0,247871,3320,0,0,0,602720,0,69202,121604,411914
New Hampshire,2015,2487737,404579,970102,0,970102,12328,436,107740,146796,914,63528,236380,401980,322667,4583,164,54896,10093,122490,12369,21456,95760,856,672717,96038,576679,117672,0,117672,0,0
New Jersey,2015,31567654,4547,12951867,9146025,3805842,138548,206143,648090,535550,0,964052,715556,597903,1553255,4199,53812,286599,13566,637074,55398,7762,492866,1979,15829393,13250002,2579391,1228592,793508,435084,0,0
New Mexico,2015,6009443,108803,2995689,2256088,739601,45735,72059,122280,240177,875,28470,79956,150049,272008,0,633,25199,19163,181434,3684,1503,40392,0,1631201,1381254,249947,1001742,1,0,1001741,0
New York,2015,78201753,0,23932517,13104421,10828096,250899,1129,1431361,1648106,18969,873449,1306696,5297487,1764149,61173,0,26511,49489,1357402,140400,12601,115113,1460,48794019,43709832,5084187,3711068,1108529,1155309,0,1447230
North Carolina,2015,25084225,0,10733859,6862578,3871281,359880,1824,529936,1924089,0,0,276458,779094,1755328,24877,199,631302,32984,607531,116386,19831,297979,24239,12527873,11197650,1330223,67165,3225,62070,1870,0
North Dakota,2015,5736355,3505,1935816,1389083,546733,9485,3626,58008,232296,1364,45272,32518,164164,225540,377,549,0,17809,122799,5329,6,78671,0,722170,536131,186039,2849324,0,0,2849324,0
Ohio,2015,28297156,0,17214405,11900176,5314229,101090,269998,544523,1907996,5758,1114159,809640,561065,2171231,41959,15970,236774,37698,745550,80658,31172,933678,47772,8885559,8882973,2586,25961,3070,0,22891,0
Oklahoma,2015,9692601,0,4032088,2682008,1350080,116772,20767,325954,455288,1155,49491,313852,66801,1055808,959,152751,58478,20777,724318,29862,4,68132,527,4029959,3641429,388530,574746,135,18065,556546,0
Oregon,2015,10577079,20336,1498647,0,1498647,17811,0,62340,524665,2268,83299,266247,542017,988932,4627,2755,36048,53396,540392,42035,15945,287006,6728,7930842,7309115,621727,138322,110994,3179,24149,0
Pennsylvania,2015,36110311,41860,18369809,9865270,8504539,358887,1408047,792922,2731605,10293,1268072,978006,956707,2222062,17183,16568,116290,73926,892817,76669,61679,947137,19793,13999110,11488974,2510136,1477470,970839,484780,0,21851
Rhode Island,2015,3165635,2480,1620523,959513,661010,19538,0,95174,85801,1103,105292,137980,216122,89794,126,149,4861,1790,19987,4949,4029,49502,4401,1391704,1215368,176336,61134,42231,18903,0,0
South Carolina,2015,9598478,26394,4845230,3568788,1276442,166501,36780,207610,546370,0,28483,25482,265216,556245,12631,7475,129851,18888,212246,9493,10526,138232,16903,4073030,3695701,377329,97579,0,97579,0,0
South Dakota,2015,1674108,0,1372682,970784,401898,16690,8993,83022,148170,397,3267,61004,80355,288796,801,6709,5228,28783,80835,3698,0,141048,21694,4334,0,4334,8296,0,198,8098,0
Tennessee,2015,12698496,0,9196721,6548032,2648689,159768,0,809567,857605,0,8153,263566,550030,1502770,1446,323,790557,33333,278716,47806,5966,335982,8641,1703169,302196,1400973,295836,84211,190034,2195,19396
Texas,2015,55086438,0,47654182,33664187,13989995,1147565,30981,1986919,3462288,7114,654641,1491765,5208722,3426885,68483,19776,129394,108204,2107627,137645,7924,687419,160413,0,0,0,4005371,0,0,4005371,0
Utah,2015,6703356,0,2766724,1882901,883823,51221,0,119280,377390,0,24798,115761,195373,280021,1936,0,465,28720,176458,16283,0,53264,2895,3526399,3157718,368681,130212,0,0,130212,0
Vermont,2015,3043152,1035611,1026188,366667,659521,24839,0,57950,85619,0,18277,76755,396081,111527,438,29,3409,7449,70033,8907,0,19403,1859,821953,709310,112643,47873,9890,33622,0,4361
Virginia,2015,20536885,32712,6495087,3793215,2701872,257229,105,451037,755681,0,131270,177588,928962,829279,13025,102,57686,25656,449616,40018,0,239148,4028,12721796,11903945,817851,458011,97,345747,2258,109909
Washington,2015,20644454,2018393,16241234,12517831,3723403,331405,0,555976,1247817,1458,483211,474183,629353,1396989,133757,6038,34595,45738,564178,116458,18529,312495,165201,0,0,0,987838,150295,793650,43893,0
West Virginia,2015,5565985,6679,2619323,1293327,1325996,18159,46928,155687,433877,2312,152167,102188,414678,138918,1333,2932,927,12230,2409,105298,136,9896,3757,2121215,1932457,188758,679850,0,10970,668880,0
Wisconsin,2015,17019139,165155,7647097,4892126,2754971,57596,223,184166,1014656,0,395883,641464,460983,1026575,1803,709,19623,67232,470542,39053,81944,340205,5464,8101659,7069248,1032411,78653,0,57820,9263,11570
Wyoming,2015,2356323,318569,994850,811105,183745,1885,0,29648,118639,2524,3475,24696,2878,153768,0,0,14153,33580,77492,2217,0,26326,0,0,0,0,889136,0,0,883913,5223
