States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2017,950532820,19031950,452815231,301195952,151619279,6626430,7723624,21001801,45060523,118408,12570975,18673887,39843631,55139430,667800,542068,5861711,1598545,26138877,2586102,1369494,14904482,1470351,398016380,352834534,45181846,25529829,4754312,9383413,8859122,2532982
Alabama,2017,10418152,395930,5247294,2654883,2592411,217790,0,339719,588992,1226,688756,188783,567145,529607,4086,0,173265,24024,219393,33730,14346,60763,0,4144656,3624543,520113,100665,0,46150,54515,0
Alaska,2017,1189786,120805,263120,0,263120,40097,10668,62500,45944,0,4370,67555,31986,134928,1996,0,0,32900,38900,0,9316,49272,2544,87775,0,87775,583158,0,0,583158,0
Arizona,2017,13888611,993615,8539726,6566503,1973223,74126,0,536820,856495,129,22325,310706,172622,505494,8921,0,41357,35849,215991,31074,0,170700,1602,3813786,3445650,368136,35990,0,17613,18377,0
Arkansas,2017,9516281,1137886,4701868,3384394,1317474,55831,60380,213212,487517,2497,0,228540,269497,384559,4787,462,28106,26912,158446,25521,9157,129289,1879,3164756,2767767,396989,127212,198,43255,55815,27944
California,2017,155632088,2681872,47940362,35357699,12582663,370714,0,2422105,4842749,14743,728045,852894,3351413,10525972,58202,22212,74365,104176,4261054,222241,779990,4999288,4444,94309271,84196751,10112520,174611,1360,0,93928,79323
Colorado,2017,13197606,0,5128852,2978382,2150470,44866,97630,256212,653790,625,0,199989,897358,748284,7840,723,17638,75573,536975,41502,13245,54671,117,7320470,6791929,528541,0,0,0,0,0
Connecticut,2017,16345525,0,6649708,4236619,2413089,63155,297003,199497,484479,5792,283433,381778,697952,442290,9204,231,29791,5603,235105,46805,738,111366,3447,8856739,7959492,897247,396788,218789,177725,0,274
Delaware,2017,3588905,0,556490,0,556490,20577,0,100144,129487,63,53798,112349,140072,1503083,2034,312,1304919,3249,57982,6771,0,120843,6973,1427150,1180975,246175,102182,2156,98889,0,1137
Florida,2017,40218365,0,33339556,25346166,7993390,323393,207144,959339,2727802,7800,1972968,1197666,597278,2032331,7005,19181,238350,15166,1374140,164813,24526,180240,8910,2383783,0,2383783,2462695,644,2427903,34148,0
Georgia,2017,22419440,989001,8807950,5729916,3078034,193438,0,480154,1741092,0,0,220774,442576,672897,3975,0,56999,27000,364255,112419,0,81354,26895,11949591,10977693,971898,1,0,1,0,0
Hawaii,2017,7029026,0,4365856,3239225,1126631,51167,0,170118,87026,0,122159,124160,572001,269224,0,0,1723,567,187986,316,17352,48633,12647,2280441,2095601,184840,113505,18968,94537,0,0
Idaho,2017,4511208,0,2245356,1650498,594858,9468,0,91985,353548,637,15752,50883,72585,383702,1878,260,2693,42886,187156,11460,54947,78716,3706,1876889,1660248,216641,5261,0,0,5261,0
Illinois,2017,37978923,63283,18629894,11363366,7266528,294304,835445,418582,1348414,6131,1527274,781528,2054850,2793983,17021,15491,364482,40808,1728151,114629,18025,465109,30267,16134268,13256769,2877499,357495,280940,76555,0,0
Indiana,2017,18051598,12251,10894428,7556326,3338102,49403,477977,235171,854529,1866,193613,434351,1091192,681547,12582,5782,9488,18902,284202,229689,0,36207,84695,6460790,5435292,1025498,2582,1571,0,1011,0
Iowa,2017,9755430,1840,4613085,3205997,1407088,22535,300172,113469,674603,3484,31386,220938,40501,947549,15442,31770,45765,28832,637933,14444,12292,158098,2973,4087482,3655462,432020,105474,84649,20825,0,0
Kansas,2017,8173821,683827,4301565,3209506,1092059,137801,313,310420,458008,0,378,138504,46635,421080,2668,7950,19732,30961,224198,32757,4972,95358,2484,2714618,2327652,386966,52731,0,0,52731,0
Kentucky,2017,11907759,709772,5649708,3490639,2159069,146227,174,153728,701440,6643,58298,243096,849463,500447,6638,277,110072,28532,208389,16827,0,125994,3718,4852835,4394185,458650,194997,46345,3530,145122,0
Louisiana,2017,11104720,70366,7014497,4215378,2799119,77107,698306,813975,634883,4659,9110,174001,387078,368318,0,0,125998,30684,83002,13987,6182,104207,4258,3241260,2949939,291321,410279,0,0,410279,0
Maine,2017,4232556,38643,2165142,1441867,723275,19266,54400,95943,252870,1479,21944,144243,133130,274760,6698,586,10577,16579,109723,11025,0,109737,9835,1710105,1534866,175239,43906,11718,32188,0,0
Maryland,2017,21599795,777064,9242760,4609538,4633222,32151,847455,516533,1078313,1182,138251,386965,1632372,866391,1486,2780,109767,18043,501360,37616,0,193485,1854,10068643,9066709,1001934,644937,227940,214581,0,202416
Massachusetts,2017,27518360,6598,8818347,6240822,2577525,85397,65744,397519,769442,902,26727,619437,612357,1112162,3634,14825,26645,5482,438855,96905,0,290524,235292,16920751,14724277,2196474,660502,336633,323869,0,0
Michigan,2017,28628517,2124075,13696741,9223737,4473004,159378,113048,337254,1210628,3487,28381,1038594,1582234,1787867,19204,0,24509,63756,1191927,58838,33180,167908,228545,10680724,9485325,1195399,339110,26,310149,28935,0
Minnesota,2017,25594522,854945,10607635,5888795,4718840,88222,63870,486403,912644,863,54,681018,2485766,1477319,2611,1195,8551,63665,790116,46489,681,500603,63408,12183233,10956205,1227028,471390,129657,245089,46593,50051
Mississippi,2017,7783031,28589,4988338,3526913,1461425,41835,132778,327778,443522,0,1490,145059,368963,480741,1243,26664,127445,2562,157290,13267,6549,76882,68839,2242601,1834688,407913,42762,4,0,42758,0
Missouri,2017,12495505,31643,5403936,3604570,1799366,37863,366839,432560,720849,0,0,100391,140864,590747,5304,2178,2678,33083,288210,15888,19937,147569,75900,6456911,6149468,307443,12268,0,12191,18,59
Montana,2017,2654444,274431,576214,0,576214,32926,59819,108383,189561,46,43505,83606,58368,329874,3484,7348,4594,39240,143624,9007,12,111462,11103,1302961,1177958,125003,170964,0,0,167484,3480
Nebraska,2017,5103105,123,2407514,1835037,572477,30911,5780,54350,354234,154,44297,56954,25797,182791,715,534,6260,15861,110538,10975,0,36916,992,2492926,2228486,264440,19751,0,16462,3289,0
Nevada,2017,8624618,300490,6923284,4756243,2167041,45011,919642,359741,326425,3,24676,195371,296172,666527,0,85047,77101,13447,213455,30521,0,242142,4814,0,0,0,734317,0,90479,68605,575233
New Hampshire,2017,2496719,405186,959384,0,959384,12678,538,108013,152086,633,53427,203102,428907,329719,17263,322,63123,11233,102438,8305,21540,104531,964,639120,65467,573653,163310,0,163310,0,0
New Jersey,2017,32325850,4761,13388614,9591881,3796733,137757,218650,579642,532878,0,984612,697577,645617,1550059,4199,47211,234436,13720,667056,58005,7360,516093,1979,16068049,13958119,2109930,1314367,748630,565736,0,1
New Mexico,2017,5776271,81694,3069641,2258767,810874,44916,77959,163453,242627,842,30633,89703,160741,307671,0,556,30013,30779,196303,5374,1438,43208,0,1430644,1338768,91876,886621,1,0,886620,0
New York,2017,79678037,0,25362583,14132141,11230442,257690,2930,1381080,1647240,16396,811992,1265699,5847415,1814065,62334,0,26241,44172,1403555,138696,11068,126505,1494,48658122,44631769,4026353,3843267,1190881,1312358,0,1340028
North Carolina,2017,26855304,0,11699036,7656898,4042138,394838,7,517095,1922400,0,259,292138,915401,2235904,26601,184,826775,33799,831878,129086,19745,341503,26333,12843373,12086332,757041,76991,713,74386,1892,0
North Dakota,2017,3465326,4401,1349428,872176,477252,8872,3161,63558,189718,1728,46595,28977,134643,213985,381,1123,0,18370,119853,4101,5,70152,0,380378,319507,60871,1517134,0,0,1517134,0
Ohio,2017,30306468,0,19573408,13343149,6230259,107060,261950,629684,1984392,5525,1147894,1109777,983977,2300778,42978,36094,263294,38186,840327,87659,38590,901294,52356,8386283,8377450,8833,45999,743,0,45256,0
Oklahoma,2017,8569402,0,3764895,2465383,1299512,118260,20807,304448,473960,1064,42267,320200,18506,1062358,1360,158766,52963,20344,753639,27304,4,47252,726,3280496,3122602,157894,461653,177,19505,441971,0
Oregon,2017,11914567,20065,1598677,0,1598677,18796,0,68481,529658,1928,113022,247406,619386,1067836,4706,2858,37421,55759,539474,38851,14577,367539,6651,9012271,8379225,633046,215718,198363,2062,15293,0
Pennsylvania,2017,37853091,43360,19629437,10509734,9119703,386816,1406354,808250,3143576,10381,1235942,1401259,727125,2240809,34222,12672,18752,74991,928512,70067,83718,997941,19934,14408126,12063782,2344344,1531359,931908,577586,0,21865
Rhode Island,2017,3266663,2633,1691782,996390,695392,20873,0,120587,90990,1122,97711,140074,224035,110461,143,222,5281,1691,26788,4589,2454,64367,4926,1368660,1238928,129732,93127,70601,22526,0,0
South Carolina,2017,9828825,37518,4637349,3285007,1352342,177317,38814,228259,583476,0,28278,26383,269815,518886,13601,6918,68181,17907,229898,6770,10268,146152,19191,4517931,4142276,375655,117141,0,117141,0,0
South Dakota,2017,1828543,0,1517973,1065361,452612,16933,8853,66496,189133,319,3103,61809,105966,269481,1166,6573,5049,29866,82947,5410,0,114821,23649,30728,0,30728,10361,0,185,10176,0
Tennessee,2017,13893728,0,10010965,7260193,2750772,187125,0,912324,915858,0,7398,256762,471305,1635495,1644,240,871205,37869,306047,61268,5087,343298,8837,1976200,249977,1726223,271068,14904,236169,1261,18734
Texas,2017,53612926,0,46897352,32490144,14407208,1228641,29745,2325941,3585179,6321,614565,1467486,5149330,3432901,68608,18492,140776,103550,2237042,140863,21556,537912,164102,0,0,0,3282673,0,0,3282673,0
Utah,2017,7832889,0,3530809,2533961,996848,50002,0,130122,487731,0,24351,116158,188484,321715,5900,0,466,30622,203980,16602,0,55350,8795,3950776,3621199,329577,29589,0,0,29589,0
Vermont,2017,3127523,1056635,1058569,375870,682699,26028,0,59895,81020,0,8589,76686,430481,127049,485,26,3894,7394,76905,8914,0,25169,4262,825025,743630,81395,60245,16670,38857,0,4718
