States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2013,855384395,15144800,401233509,261157504,140076005,6069916,6875025,17411439,40147440,129637,14696083,17984069,36762396,51181846,695851,604912,6739466,1562746,23198018,2560941,960091,13631356,1228465,356845695,311521453,45324242,30978545,4908997,6746125,16770392,2553031
Alabama,2013,9270919,325652,4708518,2331676,2376842,174395,93,297958,530244,1557,737619,120110,514866,490430,4185,0,136786,21470,204960,21031,14086,87908,4,3584722,3202520,382202,161597,18,42155,119424,0
Alaska,2013,5132811,99598,249586,0,249586,39194,8427,60236,41608,0,4295,69175,26651,135720,1788,1,0,25569,58822,0,514,40522,8504,630941,0,630941,4016966,0,0,4016966,0
Arizona,2013,13796918,762651,8513034,6792635,1720399,68684,531,424369,781426,234,21013,315428,108714,412769,5164,0,10357,29246,193816,29620,15747,126846,1973,4059733,3397707,662026,48731,0,18902,29829,0
Arkansas,2013,8586767,1022066,4019203,2837788,1181415,50656,36109,162962,455914,3113,0,237328,235333,357280,4424,458,27376,23760,149982,17846,9917,121868,1649,3052451,2649577,402874,135767,92,30190,80862,24623
California,2013,133184246,1982208,48074580,33915885,14158695,357000,0,2242379,5492850,14088,676997,868703,4506678,8743748,53008,15134,59998,102073,3579253,311239,416056,4202960,4027,74271000,66809000,7462000,112710,0,0,37732,74978
Colorado,2013,11255253,0,4289135,2416731,1872404,39217,104290,211320,626619,610,11528,197026,681794,637707,6734,629,13175,71096,462676,30945,12140,39378,934,6180665,5528485,652180,147746,14,0,147732,0
Connecticut,2013,16046433,0,6637162,3838385,2798777,60416,382390,232492,497013,6876,340920,399885,878785,452912,8803,209,27828,5713,209745,42607,686,155306,2015,8380581,7811949,568632,575778,421065,151624,30,3059
Delaware,2013,3346316,0,487202,0,487202,18412,0,87512,112616,79,58866,115191,94526,1259277,1943,328,812596,2728,51237,5712,0,379809,4924,1440145,1130501,309644,159692,20161,138358,0,1173
Florida,2013,35432266,360,29370441,20785507,8584934,486278,165804,657710,2332191,9150,3045930,1227200,660671,1993965,8332,16000,284117,15392,1227158,203842,25096,212184,1844,2071710,0,2071710,1995790,290,1948450,47050,0
Georgia,2013,17932461,201834,7408422,5277211,2131211,180786,0,329237,1000626,0,0,211618,408944,767866,3512,797,39243,23502,457490,72798,0,133904,36620,9569482,8772227,797255,-15143,-15352,209,0,0
Hawaii,2013,6111278,0,3932220,2944487,987733,48962,0,136542,92516,0,163930,112104,433679,248574,0,0,1606,488,175341,389,20241,38607,11902,1859379,1735718,123661,71105,14886,56219,0,0
Idaho,2013,3578068,0,1772300,1324182,448118,8588,0,72251,244738,1195,1920,49324,70102,306627,1727,294,2077,32868,133204,11403,51453,69984,3617,1492902,1292562,200340,6239,15,0,6224,0
Illinois,2013,38729322,61806,14719741,8159003,6560738,279928,598897,359578,1259834,5881,1638578,857110,1560932,2583108,12289,17658,345961,38472,1584922,103140,18262,430765,31639,21001289,16538662,4462627,363378,309376,54002,0,0
Indiana,2013,16881138,7008,10345746,6805069,3540677,45248,754248,212272,803376,2543,238777,461637,1022576,606090,12940,8301,7421,18493,210622,238969,0,31739,77605,5754395,4972810,781585,167899,165478,0,2421,0
Iowa,2013,8681675,0,3916290,2827371,1088919,13865,270659,104885,440365,3996,0,226300,28849,798137,14564,23997,43938,28719,540619,14237,12033,112333,7697,3865312,3436758,428554,101936,86785,15151,0,0
Kansas,2013,7615894,79475,3742916,2897033,845883,119462,391,174531,415352,0,321,98985,36841,378633,3282,15,-4311,89900,205760,21256,5685,55457,1589,3341141,2956588,384553,73729,-77,0,73806,0
Kentucky,2013,10875039,558377,5169541,3021794,2147747,121753,184,139471,838344,4843,67197,260358,715597,462726,6281,264,98774,26535,184760,16050,0,124506,5556,4369839,3722964,646875,314556,41326,3444,269786,0
Louisiana,2013,9223829,52686,4974642,2825752,2148890,56879,675249,399551,583025,4660,9680,161554,258292,369930,0,0,105789,28488,105963,12178,7066,106332,4114,2992413,2739983,252430,834158,42,0,834116,0
Maine,2013,3884450,38636,1779873,1071886,707987,17518,51162,99693,237675,2068,29599,137952,132320,260918,5377,700,8980,16148,107906,10728,0,102584,8495,1703491,1531504,171987,101532,79083,22449,0,0
Maryland,2013,18118191,750927,7347048,4114296,3232752,30867,25281,429410,740556,1203,123431,415922,1466082,805292,1266,30,92984,15770,450618,34569,0,208228,1827,8645416,7693324,952092,569508,234552,145753,0,189203
Massachusetts,2013,23901047,4795,7455326,5184312,2271014,77357,2670,403757,651375,1830,23738,558297,551990,945922,3067,231,25624,5302,381189,107398,0,265590,157521,14764641,12876192,1888449,730363,313395,219465,0,197503
Michigan,2013,24936087,1879024,12298069,8465895,3832174,138900,110668,301883,956173,4599,35653,958961,1325337,1464607,16118,0,22736,49326,943486,56672,30696,160987,184586,9021535,8126352,895183,272852,293,202323,70236,0
Minnesota,2013,22895574,815756,9931483,5711442,4220041,73053,39274,370829,888010,573,50,380304,2467948,1188142,1895,1427,7307,57363,624736,43718,128,371288,80280,10552394,9329085,1223309,407799,161278,196295,50226,0
Mississippi,2013,7402725,24122,4571294,3191683,1379611,41787,139630,212493,412966,0,6191,150277,416267,530010,2927,17410,149321,17341,151627,37793,14717,96020,42854,2171404,1755424,415980,105895,21,0,104692,1182
Missouri,2013,11139394,29896,4791043,3154531,1636512,36119,379828,274089,701078,0,0,103734,141664,549473,5035,1762,54666,31614,266955,17039,19998,131276,21128,5757909,5380651,377258,11073,175,10815,8,75
Montana,2013,2644610,262313,558961,0,558961,31743,57295,74667,216155,11,47861,87935,43294,320858,2079,4489,3230,46590,149104,9067,6,96285,10008,1216499,1045500,170999,285979,0,0,282356,3623
