States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
Nebraska,2013,4718944,148,2197988,1669380,528608,28936,4229,69248,297483,237,53887,66049,8539,130762,1068,610,3055,13681,95343,6200,0,10805,0,2377257,2101694,275563,12789,0,8725,4064,0
Nevada,2013,7026626,235143,5468363,3637356,1831007,40903,921872,249390,297387,0,21993,104766,194696,586801,0,92967,65070,10121,162250,21729,0,230099,4565,0,0,0,736319,0,59261,290448,386610
New Hampshire,2013,2352699,400369,948297,0,948297,12689,454,83547,143132,677,73141,209555,425102,252441,4321,233,38128,10036,92324,12603,9606,84265,925,652224,99027,553197,99368,0,99368,0,0
New Jersey,2013,29076881,4620,12198133,8454788,3743345,136066,214859,568484,524557,0,959009,753562,586808,1516432,3960,58402,253561,13150,615425,53515,6797,509584,2038,14390670,12108615,2282055,967026,623840,343186,0,0
New Mexico,2013,5390841,69217,2732537,2004258,728279,46913,67405,137050,231026,943,30650,83034,131258,257169,0,362,22219,18725,175002,3614,50,37197,0,1488711,1222245,266466,843207,0,0,843207,0
New York,2013,73667171,0,23217491,12117579,11099912,247303,1030,1435166,1634932,22270,1027932,1543018,5188261,1952367,61225,59,60319,56643,1377900,145008,22842,226912,1459,45150984,40230379,4920605,3346329,1014862,877859,0,1453608
North Carolina,2013,23818371,0,9714905,5592560,4122345,332656,14703,542551,1893576,0,396055,281097,661707,1584563,15915,214,583877,16619,581590,112726,15952,247556,10114,12354073,11068166,1285907,164830,112364,50810,1656,0
North Dakota,2013,5298770,2808,1763437,1268695,494742,9154,5521,47867,211700,742,39807,28743,151208,207482,347,822,0,14087,113651,5135,3,73437,0,867485,641766,225719,2457558,28,0,2457530,0
Ohio,2013,27242072,0,13547170,8351551,5195619,98279,225439,504075,1704594,6246,1111197,828703,717086,3445620,40844,118919,1649423,38069,714947,82767,31094,753465,16092,10131771,9869545,262226,117511,105203,0,12308,0
Oklahoma,2013,8892503,0,3848451,2518598,1329853,111001,20767,268121,434719,1191,41207,283902,168945,1010430,1224,152863,44580,19683,649232,15517,5,115344,11982,3501761,2916615,585146,531861,874,15006,515981,0
Oregon,2013,9160887,19893,1369266,0,1369266,16294,0,101569,498778,2138,84131,269344,397012,923123,4421,825,29474,50246,512729,39447,13063,266125,6793,6719905,6260161,459744,128700,101831,3564,23305,0
Pennsylvania,2013,33965626,55537,17106300,9243355,7862945,336400,1447200,790975,2046738,13149,1312254,1074092,842137,2585202,16740,29968,488427,72852,837215,61907,72092,987918,18083,12985497,10777334,2208163,1233090,812350,395176,0,25564
Rhode Island,2013,2931631,2331,1516423,881458,634965,12717,0,94915,94191,1184,101502,131974,198482,129716,73,169,4719,1668,66202,4991,0,45198,6696,1233302,1088992,144310,49859,31156,18703,0,0
South Carolina,2013,8735455,22699,4476982,3199752,1277230,156759,39172,150213,520501,0,26831,27677,356077,439843,12394,1718,74208,17346,210000,9449,0,98299,16429,3744187,3357518,386669,51744,0,51744,0,0
South Dakota,2013,1533573,0,1228262,853570,374692,16027,9325,71989,142364,534,3558,60969,69926,257130,835,7488,4504,28140,66660,3739,0,126781,18983,37172,0,37172,11009,0,193,10816,0
Tennessee,2013,11727736,0,8490111,5992162,2497949,140068,0,686280,834999,0,9461,274471,552670,1420083,1320,314,758051,31380,270469,46945,5995,297116,8493,1519015,262842,1256173,298527,114191,161183,2502,20651
Texas,2013,51801010,0,43653956,30908596,12745360,987726,29386,1717242,3228459,7166,753864,1533170,4488347,3347303,62458,18683,116920,103912,2076465,133820,21659,639713,173673,0,0,0,4799751,0,0,4799751,0
Utah,2013,6294473,0,2739916,1884170,855746,48228,0,108872,373242,0,24484,120472,180448,259735,1936,0,490,28726,164710,15244,0,47700,929,3182772,2852088,330684,112050,0,0,112050,0
Vermont,2013,2850183,943408,983226,347273,635953,23159,0,57517,106840,0,17272,74270,356895,106509,376,38,1945,7253,69563,7410,0,18144,1780,768662,663027,105635,48378,15387,28310,0,4681
Virginia,2013,19186584,33188,6192666,3708389,2484277,204049,81,392397,910038,0,128780,187943,660989,806572,12284,102,57191,29503,452626,62311,0,185964,6591,11672861,10900860,772001,481297,-269,376892,2117,102557
Washington,2013,18787187,1939883,14718051,11122868,3595183,364795,0,436118,1194910,1594,462736,465148,669882,1408950,257601,6045,30836,43289,509854,91793,18762,284387,166383,0,0,0,720303,104258,577389,38656,0
West Virginia,2013,5389952,6149,2579011,1255377,1323634,17690,70259,151136,408914,2312,160762,107022,405539,149267,1392,3483,4858,11943,2456,105877,304,11887,7067,2038376,1795947,242429,617149,2,8776,608371,0
Wisconsin,2013,16513692,148600,7088411,4410130,2678281,57290,243,176710,968338,0,368708,632174,474818,1026823,1356,494,19649,66863,452850,40610,67340,372894,4767,8183442,7227690,955752,66416,304,48016,6201,11895
Wyoming,2013,2186054,331899,826387,702623,123764,1802,0,18419,70986,145,3555,26505,2352,155241,0,0,12496,34764,80385,2298,0,25298,0,0,0,0,872527,0,0,867933,4594
