States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
North Dakota,2016,3709105,3910,1496824,1017269,479555,9026,3406,65113,196837,1566,46455,30757,126395,204055,381,756,0,19306,119473,4226,6,59907,0,454194,351125,103069,1550122,0,0,1550122,0
Ohio,2016,28694883,0,18231167,12226504,6004663,100712,269267,579408,1855699,5628,1156646,1008798,1028505,2223747,42501,37833,237487,37695,769085,78821,27863,943758,48704,8202432,8169197,33235,37537,2154,0,35383,0
Oklahoma,2016,8818503,0,3778399,2471242,1307157,120099,20963,322604,463962,1162,46168,316471,15728,1038699,1224,156410,55082,21082,719518,26963,3,57692,725,3652437,3324654,327783,348968,273,17871,330824,0
Oregon,2016,10970051,20587,1513201,0,1513201,18375,0,65903,517757,1980,96970,270199,542017,1048709,4543,2834,34825,53978,539474,37973,14577,353372,7133,8245616,7611745,633871,141938,125969,2379,13590,0
Pennsylvania,2016,37394589,43124,19284374,10221593,9062781,373004,1395968,820513,2971950,10350,1310130,962110,1218756,2159170,17741,11820,80943,74654,900127,71765,80661,901143,20316,14388463,11932232,2456231,1519458,933140,562623,0,23695
Rhode Island,2016,3245562,2544,1665438,973585,691853,20399,0,113993,90032,1070,103971,144403,217985,100771,72,197,5131,1988,22793,4911,2401,58915,4363,1380463,1236194,144269,96346,75288,21058,0,0
South Carolina,2016,9457330,32670,4525200,3192331,1332869,173138,36662,223416,574513,0,28164,28138,268838,507760,11675,7135,88702,18284,223783,8686,10236,120849,18410,4277639,3869342,408297,114061,0,114061,0,0
South Dakota,2016,1748047,0,1440041,968787,471254,16656,9256,86879,186990,388,3624,63082,104379,268724,1027,6617,5194,30699,89045,5346,0,107967,22829,32684,0,32684,6598,0,194,6404,0
Tennessee,2016,13386169,0,9704247,7006376,2697871,174340,0,885037,897608,0,8268,263739,468879,1516966,1467,254,773374,38848,301635,56063,6108,330149,9068,1862601,323952,1538649,302355,62471,219188,1444,19252
Texas,2016,52132817,0,46370774,32131385,14239389,1191961,29780,2171362,3500210,6954,605487,1479863,5253772,3414335,74711,19874,137109,110051,2227996,137372,20542,517411,169269,0,0,0,2347708,0,0,2347708,0
Utah,2016,7082961,0,3031819,2083671,948148,51563,0,133157,419727,0,24351,119717,199633,290426,2669,0,586,29813,184078,15414,0,53264,4602,3707893,3374535,333358,52823,0,0,52823,0
Vermont,2016,3085865,1056323,1031257,371365,659892,25025,0,59055,77404,0,9012,80418,408978,117328,431,26,3444,7833,71626,9550,0,20955,3463,828322,729986,98336,52635,12509,35627,0,4499
Virginia,2016,21213280,30367,6879901,3931717,2948184,268547,83,485018,895589,0,121749,178847,998351,826306,13297,129,61138,27763,477126,40558,0,202087,4208,12990685,12237996,752689,486021,222,368747,2468,114584
Washington,2016,22280088,2062065,17636031,13560382,4075649,347642,0,534663,1457933,1840,489225,450805,793541,1461200,143858,6630,35739,43864,603519,119671,22587,323654,161678,0,0,0,1120792,136035,945026,39731,0
West Virginia,2016,5127970,6957,2566690,1286833,1279857,17936,43545,158315,396010,2282,120406,100273,441090,128478,995,3192,986,12096,4295,95314,442,9928,1230,1990391,1845711,144680,435454,0,10631,424823,0
Wisconsin,2016,17649467,170537,7763441,5058789,2704652,58970,201,196543,1043282,0,368724,649538,387394,1151656,1823,545,20357,67572,493293,40113,88707,437933,1313,8473461,7486676,986785,90372,1745,65154,10562,12911
Wyoming,2016,1913607,338776,820146,641495,178651,1919,0,27991,115175,1963,4823,24060,2720,157086,0,0,13826,33919,76448,2303,0,30590,0,0,0,0,597599,0,0,593959,3640
